dataset,computer,zarr_path,smoothing,peak_method,normalisation,omp_coefs,bin_tol,dimred,n_components,clustering,n_clusters,run_id,n_features,n_clusters_found,davies_bouldin,calinski_harabasz,paep,runtime_sec,slide,matrix,sample_name,experiment,tissue,filtering,matrix_zarr_path,batch_mode,sample_zarr_paths,sample_names,n_pra,matrix_ratio_threshold,filtering_mz_tol,should_remove_matrix_peaks,detailed_spectrum_analysis,matrix_path,n_peaks_detected,mad_threshold,n_omp_candidates,n_bins,n_filtered_peaks,sample_offset
DHB_060326_DHB_Slide_11_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,300,0.005,pca,10,kmeans,6,DHB_060326_DHB_Slide_11_50_um_OMP300_filtering0.005_pca10_kmeans6,221,6,1.053487831345602,44459.80248966973,6.385816343660816,182.63064190000296,060326 DHB Slide 11 50 um,DHB,060326 DHB Slide 11 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\1 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\10 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\21 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\28 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\49 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\1 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\10 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\21 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\28 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\49 1hnr.zarr']","['1 pra', '10 pra', '21 pra', '28 pra', '49 pra', '1 1hnr', '10 1hnr', '21 1hnr', '28 1hnr', '49 1hnr']",5,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP300_filtering0.005_pca10_kmeans6\DHB_060326_DHB_Slide_11_50_um_OMP300_filtering0.005_pca10_kmeans6/matrix.npy,300.0,,1767.9,118.2,118.2,
DHB_100326_DHB_Slide_4_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,300,0.005,pca,10,kmeans,5,DHB_100326_DHB_Slide_4_50_um_OMP300_filtering0.005_pca10_kmeans5,218,5,1.3115083731941646,44807.98165423156,4.411954529417333,198.29232169990428,100326 DHB Slide 4 50 um,DHB,100326 DHB Slide 4 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\100326 DHB Slide 4 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 1hnr.zarr']","['15 pra', '22 pra', '24 pra', '33 pra', '35 pra', '36 pra', '15 1hnr', '22 1hnr', '24 1hnr', '33 1hnr', '35 1hnr', '36 1hnr']",6,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP300_filtering0.005_pca10_kmeans5\DHB_100326_DHB_Slide_4_50_um_OMP300_filtering0.005_pca10_kmeans5/matrix.npy,300.0,,1777.0,129.75,129.75,
DHB_100326_DHB_Slide_4_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,300,0.005,pca,10,kmeans,5,DHB_100326_DHB_Slide_4_50_um_OMP300_filtering0.005_pca10_kmeans5,218,5,1.3115083731941646,44807.98165423156,4.411954529417333,208.18822590005584,100326 DHB Slide 4 50 um,DHB,100326 DHB Slide 4 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\100326 DHB Slide 4 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 1hnr.zarr']","['15 pra', '22 pra', '24 pra', '33 pra', '35 pra', '36 pra', '15 1hnr', '22 1hnr', '24 1hnr', '33 1hnr', '35 1hnr', '36 1hnr']",6,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP300_filtering0.005_pca10_kmeans5\DHB_100326_DHB_Slide_4_50_um_OMP300_filtering0.005_pca10_kmeans5/matrix.npy,300.0,,1777.0,129.75,129.75,
DHB_100326_DHB_Slide_4_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,300,0.005,pca,10,kmeans,5,DHB_100326_DHB_Slide_4_50_um_OMP300_filtering0.005_pca10_kmeans5,218,5,1.3257889722794165,45203.29948597695,4.535343337725227,166.58914789999835,100326 DHB Slide 4 50 um,DHB,100326 DHB Slide 4 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\100326 DHB Slide 4 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 1hnr.zarr']","['15 pra', '22 pra', '24 pra', '33 pra', '35 pra', '36 pra', '15 1hnr', '22 1hnr', '24 1hnr', '33 1hnr', '35 1hnr', '36 1hnr']",6,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP300_filtering0.005_pca10_kmeans5\DHB_100326_DHB_Slide_4_50_um_OMP300_filtering0.005_pca10_kmeans5/matrix.npy,300.0,,1777.0,129.75,129.75,0.0
DHB_100326_DHB_Slide_4_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,300,0.005,pca,10,kmeans,5,DHB_100326_DHB_Slide_4_50_um_OMP300_filtering0.005_pca10_kmeans5,218,5,1.3257889722794165,45203.29948597695,4.535343337725227,167.88479759986512,100326 DHB Slide 4 50 um,DHB,100326 DHB Slide 4 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\100326 DHB Slide 4 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 1hnr.zarr']","['15 pra', '22 pra', '24 pra', '33 pra', '35 pra', '36 pra', '15 1hnr', '22 1hnr', '24 1hnr', '33 1hnr', '35 1hnr', '36 1hnr']",6,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP300_filtering0.005_pca10_kmeans5\DHB_100326_DHB_Slide_4_50_um_OMP300_filtering0.005_pca10_kmeans5/matrix.npy,300.0,,1777.0,129.75,129.75,0.0
DHB_060326_DHB_Slide_11_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,400,0.005,pca,10,kmeans,5,DHB_060326_DHB_Slide_11_50_um_OMP400_filtering0.005_pca10_kmeans5,282,5,0.9961465326046396,42605.47632813289,5.461603469571597,177.9715347001329,060326 DHB Slide 11 50 um,DHB,060326 DHB Slide 11 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\1 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\10 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\21 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\28 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\49 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\1 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\10 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\21 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\28 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\49 1hnr.zarr']","['1 pra', '10 pra', '21 pra', '28 pra', '49 pra', '1 1hnr', '10 1hnr', '21 1hnr', '28 1hnr', '49 1hnr']",5,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP400_filtering0.005_pca10_kmeans5\DHB_060326_DHB_Slide_11_50_um_OMP400_filtering0.005_pca10_kmeans5/matrix.npy,400.0,,1767.9,151.2,151.2,0.0
DHB_100326_DHB_Slide_4_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,400,0.005,pca,10,kmeans,5,DHB_100326_DHB_Slide_4_50_um_OMP400_filtering0.005_pca10_kmeans5,252,5,1.2864636109654608,46072.95398069067,4.667100152290344,192.6907207001932,100326 DHB Slide 4 50 um,DHB,100326 DHB Slide 4 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\100326 DHB Slide 4 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\15 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\22 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\24 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\33 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\35 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\100326 DHB Slide 4 50 um\\36 1hnr.zarr']","['15 pra', '22 pra', '24 pra', '33 pra', '35 pra', '36 pra', '15 1hnr', '22 1hnr', '24 1hnr', '33 1hnr', '35 1hnr', '36 1hnr']",6,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP400_filtering0.005_pca10_kmeans5\DHB_100326_DHB_Slide_4_50_um_OMP400_filtering0.005_pca10_kmeans5/matrix.npy,400.0,,1777.0,162.33333333333334,162.33333333333334,0.0
DHB_160326_DHB_slide_17_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,400,0.005,pca,10,kmeans,5,DHB_160326_DHB_slide_17_50_um_OMP400_filtering0.005_pca10_kmeans5,250,5,1.1530822831318792,63163.20543913723,5.0709876304150825,208.77489309990776,160326 DHB slide 17 50 um,DHB,160326 DHB slide 17 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\160326 DHB slide 17 50 um\matrix 1 slide 17.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\31 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\32 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\43 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\45 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\47 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\51 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\31 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\32 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\43 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\45 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\47 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\160326 DHB slide 17 50 um\\51 1hnr.zarr']","['31 pra', '32 pra', '43 pra', '45 pra', '47 pra', '51 pra', '31 1hnr', '32 1hnr', '43 1hnr', '45 1hnr', '47 1hnr', '51 1hnr']",6,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP400_filtering0.005_pca10_kmeans5\DHB_160326_DHB_slide_17_50_um_OMP400_filtering0.005_pca10_kmeans5/matrix.npy,400.0,,1795.6666666666667,157.91666666666666,157.91666666666666,0.0
DHB_270226_DHB_Slide_7_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,OMP,TIC,400,0.005,pca,10,kmeans,5,DHB_270226_DHB_Slide_7_50_um_OMP400_filtering0.005_pca10_kmeans5,301,5,0.9234106908456748,90258.65913279116,2.985433007843765,176.18200189992783,270226 DHB Slide 7 50 um,DHB,270226 DHB Slide 7 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\270226 DHB Slide 7 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\37 pra second measurement.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\37 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\42 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\44 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\50 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\37 1 hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\42 1 hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\44 1 hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\49 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\270226 DHB Slide 7 50 um\\50 1hnr.zarr']","['37 pra second measurement', '37 pra', '42 pra', '44 pra', '50 pra', '37 1 hnr', '42 1 hnr', '44 1 hnr', '49 1hnr', '50 1hnr']",5,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\OMP400_filtering0.005_pca10_kmeans5\DHB_270226_DHB_Slide_7_50_um_OMP400_filtering0.005_pca10_kmeans5/matrix.npy,400.0,,1791.3,155.0,155.0,0.0
DHB_060326_DHB_Slide_11_50_um,PC,C:\Users\i6338212\data\spatialdata_zep,,MAD,TIC,400,0.005,pca,10,kmeans,5,DHB_060326_DHB_Slide_11_50_um_MAD400_filtering0.005_pca10_kmeans5,599,5,1.2972344744955613,35452.346786582566,3.989635862145823,144.98306400002912,060326 DHB Slide 11 50 um,DHB,060326 DHB Slide 11 50 um,liver_mosaic_PC,liver_mosaic,,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\matrix 1.zarr,True,"['C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\1 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\10 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\21 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\28 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\49 pra.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\1 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\10 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\21 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\28 1hnr.zarr', 'C:\\Users\\i6338212\\data\\spatialdata_zep\\060326 DHB Slide 11 50 um\\49 1hnr.zarr']","['1 pra', '10 pra', '21 pra', '28 pra', '49 pra', '1 1hnr', '10 1hnr', '21 1hnr', '28 1hnr', '49 1hnr']",5,,0.005,True,True,C:\Users\i6338212\data\results\liver_mosaic_PC\MAD400_filtering0.005_pca10_kmeans5\DHB_060326_DHB_Slide_11_50_um_MAD400_filtering0.005_pca10_kmeans5/matrix.npy,1767.9,0.3754969244267947,,349.7,349.7,0.0
