UMAP1,UMAP2,cluster
1.7729762,9.637983,2
1.5589895,9.957206,2
1.7129829,9.875302,2
1.2626992,10.104225,2
1.5619385,10.017232,2
1.4481525,10.120008,2
1.3224444,10.199627,2
2.029261,10.330234,2
1.5306256,10.023389,2
1.9727101,10.328121,2
1.922139,10.09874,2
1.8055977,10.371055,2
1.6635916,10.17271,2
1.5239538,10.175136,2
1.1643947,9.99162,2
2.176983,10.293492,2
1.3885077,10.281952,2
1.4954498,10.376979,2
1.5223869,10.27939,2
1.1837813,9.891061,2
1.1052475,9.994428,2
1.5640427,10.052185,2
1.7963727,10.421925,2
1.2834586,10.098974,2
1.0955993,10.003811,2
2.5209007,9.776298,2
1.6756492,10.416039,2
1.214256,10.213553,2
1.2989371,9.636893,2
2.1383994,10.191216,2
1.397402,10.198883,2
1.9771212,10.257399,2
1.7694982,10.237906,2
1.9215931,10.285482,2
1.5815549,10.399241,2
1.6010252,10.087089,2
1.3726372,10.087963,2
2.1069212,10.322743,2
1.431837,10.312803,2
1.6577884,10.125696,2
1.1546865,9.990198,2
1.9629993,10.380121,2
1.417392,10.367464,2
1.5352131,10.320777,2
1.6069611,10.325653,2
1.9114755,10.403516,2
1.4874408,10.258322,2
1.5384079,9.686736,2
1.7933347,10.074305,2
1.795979,10.314114,2
1.3885719,9.995206,2
1.888686,10.171862,2
2.424277,10.010519,2
1.5781391,10.304157,2
1.5467064,9.519246,2
1.6532806,10.263015,2
1.1997756,9.70846,2
1.2735938,9.666626,2
1.4866692,10.108683,2
1.7504964,10.408115,2
1.7547233,10.308624,2
1.2565615,9.780666,2
1.3901668,9.76063,2
1.7323658,10.167472,2
4.248483,6.9619446,0
3.9895477,7.1603904,0
5.1801744,5.7696295,0
4.107694,7.020359,0
3.5819852,7.6929493,0
1.2247156,9.976858,2
2.1858954,10.23892,2
1.8180888,10.420364,2
1.523639,10.164829,2
1.3740124,10.364583,2
1.4123902,10.208994,2
1.3901354,10.33159,2
2.0017433,10.349673,2
1.1954777,10.029091,2
1.2802033,9.888998,2
2.1378992,10.343098,2
1.3371643,9.998548,2
1.4306355,10.258175,2
1.108273,10.08917,2
1.5357028,10.08368,2
1.4664414,10.196965,2
1.156444,10.14209,2
1.6056731,10.251795,2
1.2494053,9.672572,2
1.12689,9.9550495,2
1.2384598,10.013785,2
1.5252483,10.019938,2
2.0476635,10.2919,2
1.2431445,10.270548,2
1.2468361,10.284842,2
1.2802426,9.884962,2
2.0411925,9.296713,2
1.5558808,10.343769,2
1.6375638,10.001631,2
1.5938147,10.108033,2
1.2812642,9.623934,2
3.563513,7.640139,0
5.124853,5.932402,0
7.2841377,3.9435892,1
7.1737127,3.8728647,1
6.118039,4.745137,0
5.2875223,5.6351547,0
3.5692225,7.6787257,0
2.0964568,10.224386,2
1.3016803,10.3397665,2
1.7271497,10.436606,2
1.4941906,10.395966,2
1.7465951,10.428792,2
1.8008243,10.449557,2
1.5599046,10.211348,2
1.1862954,9.64426,2
1.9514304,10.364615,2
1.8416718,10.198587,2
1.2985582,10.192832,2
1.188669,9.568325,2
1.688375,10.398763,2
1.2200117,9.533965,2
1.2571803,9.625318,2
1.1996801,9.952559,2
1.5372803,10.134622,2
2.1625438,10.02519,2
1.776444,10.392129,2
1.7346462,10.076595,2
1.7133058,10.315424,2
2.136924,9.507417,2
3.5833166,7.5915794,0
4.6208825,6.448887,0
4.240422,6.875427,0
5.3829703,5.593085,0
4.7293653,6.340616,0
4.9149323,6.1496916,0
3.5988312,7.6160564,0
4.2277536,6.9827676,0
4.2255397,6.970478,0
5.4513426,5.5237713,0
7.197347,3.8992324,1
7.0065184,3.9316957,1
7.160978,3.7580528,1
6.7302604,4.1182957,1
6.2591643,4.5660267,0
4.0130525,7.1527195,0
1.3373873,10.220663,2
1.1634271,10.039038,2
1.3213787,10.337587,2
1.7690675,10.409972,2
1.129141,10.02389,2
1.456924,10.001956,2
1.3298937,10.285622,2
1.3010422,9.656094,2
1.7154423,9.563094,2
1.2920091,9.538761,2
1.5326536,9.612775,2
1.2238696,9.677501,2
2.0494933,10.063482,2
1.167858,9.736437,2
1.299659,9.699922,2
1.1246821,10.022987,2
1.9182369,10.139493,2
1.4876838,10.10677,2
1.0890667,10.016329,2
1.975671,10.322723,2
1.4175166,9.975636,2
1.3598671,9.67806,2
4.075296,7.096777,0
4.6585817,6.4144254,0
6.729895,4.209795,1
6.555638,4.3812613,1
7.081514,3.7928278,1
7.308016,3.7193918,1
7.450864,3.5498955,1
7.434915,3.7645247,1
6.493937,4.437292,0
6.1842566,4.694071,0
6.42432,4.4877253,0
7.672525,3.4898279,1
7.5680003,3.719137,1
7.172299,3.676911,1
7.195108,3.680092,1
7.074705,3.737741,1
6.4884515,4.3777323,0
4.6318827,6.4004107,0
1.2855397,9.859183,2
1.4668931,9.569631,2
1.5677983,10.033118,2
2.1615102,9.563699,2
1.2333102,9.607837,2
1.3291241,9.757005,2
1.3987502,9.944665,2
1.469387,9.409167,2
1.7391533,9.714257,2
3.8448758,7.271514,0
3.789847,7.3155723,0
3.8154814,7.290525,0
1.5187541,10.079966,2
1.6997315,9.830119,2
1.3486032,9.5743265,2
1.7639097,9.367929,2
1.4720671,9.490173,2
2.097903,9.076206,2
1.5654322,10.0465355,2
1.7945688,9.577889,2
1.1546993,9.686966,2
1.588815,9.929669,2
3.5548007,7.649739,0
5.2514195,5.7793827,0
6.174178,4.726227,0
6.927907,4.11062,1
6.920005,3.9124951,1
6.89804,3.9182105,1
6.9206524,3.9121945,1
7.27058,3.6523008,1
7.1903753,3.5059972,1
7.1650705,3.710906,1
7.280052,3.6780612,1
7.2737203,3.7938602,1
6.890454,3.906335,1
6.9818354,3.6691852,1
7.5442996,3.420978,1
7.515931,3.434257,1
7.197403,3.7951014,1
7.3090997,3.680611,1
6.2873864,4.5530953,0
5.273132,5.66117,0
3.596893,7.6636424,0
1.1629242,9.921865,2
1.3744469,9.97493,2
