UMAP1,UMAP2,cluster
5.819792,11.8806305,2
5.806056,11.799421,2
5.083967,10.1739,2
5.442303,9.773089,2
5.311892,9.955825,2
5.2902403,10.148041,2
5.9317937,11.826796,2
5.8415194,11.723378,2
5.7729907,11.671745,2
5.294452,9.783273,2
5.2771606,10.061681,2
5.312931,9.61868,2
5.2241416,9.972033,2
5.25108,10.063108,2
5.3035965,10.081468,2
5.321883,10.149229,2
5.45434,10.848487,2
5.770581,11.671833,2
5.879356,11.9669895,2
5.9882913,12.126903,2
5.9097853,12.045665,2
5.9131794,11.86868,2
5.073421,9.91378,2
5.265837,10.000426,2
5.1648707,9.725448,2
5.272231,10.037385,2
5.2154784,10.079747,2
5.256622,9.90097,2
5.352201,9.578871,2
5.258759,10.0756855,2
5.2522225,9.862367,2
5.2850714,10.0329075,2
5.3149962,10.186962,2
5.620598,11.17628,2
5.8637743,11.870864,2
5.805828,11.850149,2
5.718216,11.788441,2
5.9387403,11.906767,2
5.8694987,11.785193,2
5.8984346,11.790027,2
5.8141904,11.699825,2
5.095358,9.894491,2
5.362971,9.75875,2
5.2160378,9.307964,2
5.282143,9.807985,2
5.2094874,9.916839,2
5.3881264,9.402538,2
5.119305,9.703848,2
5.2204103,9.897804,2
5.1569524,9.695122,2
5.291095,9.521765,2
5.1817694,9.438001,2
5.343309,9.596975,2
5.2282877,9.745653,2
5.28793,10.073529,2
5.7546434,11.867419,2
5.808532,11.834458,2
5.7764354,11.75684,2
5.8553863,11.774348,2
5.774979,11.718471,2
6.0703106,11.90867,2
5.8929873,11.864397,2
5.898111,11.838598,2
6.0559325,12.014974,2
5.8898273,11.879449,2
5.1976666,10.207835,2
5.0950603,9.922203,2
5.2606645,9.712382,2
5.1545935,9.797846,2
5.283863,9.77436,2
5.1770487,9.560984,2
5.238352,9.660144,2
5.102012,9.6181555,2
5.383992,9.424459,2
5.2128377,9.0626545,2
5.3667054,9.485127,2
5.245382,9.610511,2
5.268815,10.009248,2
5.1314664,9.498162,2
5.379272,9.020338,2
5.1592975,9.742364,2
5.2902412,9.937157,2
5.454713,10.848777,2
5.7716,11.803162,2
5.844727,11.889427,2
5.8678384,11.873048,2
6.011275,11.876736,2
5.8602734,11.829527,2
5.9341006,11.89439,2
5.8627763,11.806919,2
6.060517,11.885383,2
5.959676,11.946498,2
5.982185,11.881487,2
5.8763204,11.910892,2
5.8828006,11.922578,2
5.921047,11.818943,2
5.767148,11.814171,2
5.2668386,10.336229,2
5.2149873,9.919402,2
5.134137,9.6870365,2
5.14124,9.609935,2
5.2139583,9.807268,2
5.2140675,9.5349455,2
5.1484637,9.567438,2
5.2620335,9.220377,2
5.1862583,9.064474,2
5.193647,9.028345,2
4.921594,7.5412993,2
5.370574,8.777257,2
4.7631245,7.528667,2
4.985204,8.078771,2
4.982827,7.527635,2
5.3410854,8.748908,2
5.359275,8.73558,2
5.3576756,9.680738,2
5.173732,10.216122,2
5.699652,11.483666,2
5.580879,11.213028,2
5.785958,11.799779,2
5.8923426,12.141975,2
5.8770623,11.874333,2
5.9362082,12.056757,2
5.8776855,11.855054,2
5.9227533,11.899598,2
6.039498,11.868553,2
5.8378854,11.813104,2
5.9047236,12.009055,2
5.7922115,11.936124,2
5.873749,11.858149,2
5.786575,11.796987,2
5.793079,11.840072,2
5.907863,11.874816,2
5.887573,11.891502,2
5.478437,11.013776,2
5.3621225,10.559269,2
5.325438,9.911116,2
5.179372,10.027769,2
5.2769346,9.484721,2
5.239873,9.408999,2
5.245621,9.561337,2
5.2075253,9.629463,2
