UMAP1,UMAP2,cluster
4.142632869817668e-05,7.390271874601466e-05,3
0.0,0.0,3
1.1268464608424498e-05,0.0,3
0.0,2.9286712971453015e-05,3
1.0522737202941576e-05,3.0263210346549127e-05,3
0.0,0.0,3
1.4610259953986135e-05,5.991797262864423e-05,3
2.797738663291985e-05,5.979484591685112e-05,2
0.0,0.0008322179110269328,3
5.544984369867782e-05,3.53189856054693e-05,2
0.0,0.0,3
0.0,0.0,3
6.452210303066501e-06,0.0,3
7.08834883950411e-05,0.00018989430359575118,2
3.537768714535784e-05,0.00011508766338533777,3
5.5666983176112266e-05,0.00010340854993174764,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,2
0.0,0.0,3
0.0,0.0,3
3.123213291167859e-05,4.929445895480372e-05,3
8.693107823863371e-06,6.204560721372042e-06,3
0.0,0.0,3
5.9729164401119205e-06,0.0,3
0.0,0.0,3
4.9330528304932696e-05,0.00013985022679660435,3
2.0236136863661908e-05,1.8219114304595587e-05,3
0.0,0.0,3
2.3935363599023747e-05,3.6870034848430434e-05,3
1.1656818344775331e-05,4.7732386278176034e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,5.0679526905533806e-05,3
8.978483538269406e-06,5.41274000021492e-05,3
0.0001506530628787422,0.0003714547840548165,3
1.0534910890533673e-05,0.0,3
4.5971987932125454e-05,4.289192656411467e-05,2
1.4871354157856732e-05,1.011346246250729e-05,2
0.0,0.0,2
0.0,0.0,3
0.0,1.7573688518977325e-05,3
0.0,0.0,3
6.176456183956996e-05,0.00011219968052687881,3
0.0,0.0,3
0.0,0.0,3
5.876057659474827e-05,6.585646477950884e-05,3
0.0,0.0,3
2.706297012840968e-05,6.45607762231188e-05,3
2.466287516075653e-05,8.7729331666758e-05,3
0.0,0.0,3
0.0,6.151622424766918e-05,3
2.7306131348789642e-05,4.865472622435242e-05,3
0.0,2.544247496183305e-07,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
1.2289691165892642e-05,0.0,3
1.278848383419239e-05,4.652036241256313e-05,3
0.0,0.0,3
9.764145769098794e-06,1.688936340142104e-05,2
0.0,1.2812593892124512e-05,3
8.419238167043342e-06,0.0001128836178792522,3
0.0,3.266037987077899e-05,3
4.519615031510911e-05,8.218148769053245e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,2.4382992123315877e-06,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
1.577089163485982e-05,1.6337720354685637e-05,2
1.9066386338483388e-05,0.0,3
3.7870494423665056e-05,3.5343756958062675e-05,3
3.090379117347583e-05,8.554193852774808e-05,3
2.9548292143200147e-05,7.257215463430393e-05,3
3.4003946099166756e-05,4.7414640922074565e-05,3
0.0,0.0,3
0.0,3.902410136747429e-07,3
0.0,0.0,3
0.0,0.0,3
3.017708076104185e-05,3.421899100720817e-05,3
0.0,0.0,3
3.378018258076963e-05,0.00010564800151048496,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
2.6920428787132197e-05,6.200331979788159e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
2.7016660816346598e-06,1.1079782277920383e-05,3
0.0,0.0,3
6.724902110711327e-05,0.00012767736700263838,3
6.7427652134871074e-06,4.057237564140176e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
3.484375297003008e-05,0.00011759847852652706,3
0.0,1.2300381016821662e-05,3
4.973986708547759e-06,2.185850211600631e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,3.230730871173827e-05,3
3.073099513792285e-05,1.967402354848306e-05,2
2.1970044237384563e-05,5.428636194865749e-06,3
0.0,0.0,3
0.0,1.659380405375477e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
1.3300951763606539e-05,5.2063113142663965e-05,3
0.0,0.0,3
9.085122654668149e-06,2.7810841142809274e-05,3
0.0,0.0,3
0.0,1.0060373783633912e-06,3
6.547853127638237e-05,8.827866265481618e-05,3
0.0,0.0,3
0.0,5.897118939075564e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
6.818714389218341e-06,6.325220772497453e-05,3
4.820658758151513e-05,0.0001722570578586795,3
0.0,0.0,3
1.272741833844037e-06,3.343122973226818e-05,3
8.082508415468376e-06,1.1988370139231628e-05,3
0.0,0.0,3
2.3968731483085114e-05,9.651177850640375e-06,3
5.6792954965446104e-05,9.41631263463708e-05,3
2.9179717989662126e-05,6.35183305637621e-05,3
0.0,0.0,3
1.5609000160804976e-05,2.820903986758285e-05,3
0.0,0.0,3
0.0,0.0,3
3.6470976101144304e-05,0.0001419147564794795,3
0.0,7.054673856055204e-05,3
7.353786930583534e-06,9.3025345861005e-05,3
4.6329690975256826e-05,7.305066362258195e-05,3
0.0,0.0,2
0.0,2.9716561268948383e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
1.3014794825740057e-05,5.207339730056207e-05,3
0.0,0.0,3
0.0,0.0,3
1.6057754413422702e-05,2.6151494871193612e-05,3
0.0,0.0,3
1.1091822347420619e-05,9.57716799418177e-06,3
0.0,1.499468390784297e-05,3
0.0,0.0,3
0.0,0.0,3
2.0347399441744275e-05,3.8139030418356153e-06,3
0.0,0.0,3
0.0,0.0,3
2.6067960282446683e-05,0.0,3
0.0,0.0,3
4.409318019171801e-06,3.797315012174331e-05,3
0.0,0.0,3
0.0,7.688797340127044e-06,3
0.0,0.0,3
1.553238640845518e-05,2.205320942147717e-05,3
9.578778307014954e-06,5.615752353171062e-05,3
0.0,0.0,3
1.7650275976744545e-05,2.655775209743697e-06,3
5.827090115671479e-06,0.0,3
0.0,0.0,3
0.0007491559587777181,0.0,3
4.930856894055159e-07,0.0,3
3.6219008862880344e-06,5.1028724716268096e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
2.9018456661386344e-05,2.9737612576340517e-05,2
0.0,0.0,3
0.0,0.0,3
0.0,1.8499962571030095e-06,3
0.0,0.0,3
3.455047515105022e-06,0.0,3
0.0,1.89019438496739e-05,3
0.0,0.0,3
0.0,0.0,3
8.956315719873875e-05,0.00018991822993947877,2
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.00011391841351554525,0.00021412931719565589,3
0.0,0.0,3
2.5608338424062377e-06,6.237721696153101e-06,3
0.0,0.0,3
0.0,0.0,3
2.703433587797042e-05,3.577516126181341e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
5.603994755989484e-06,2.748599891552255e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
5.341260901198998e-05,0.00010949945540233392,2
0.0,3.41874495025201e-06,3
4.0442486471228755e-05,9.312586653154499e-05,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
0.0,0.0,3
1.6697412538984323e-06,0.0,3
8.990446659665719e-06,0.0,3
0.0,0.0,3
0.0,0.0,3
4.428625013275362e-06,0.0,3
2.5571668939012794e-05,1.4164645586623804e-05,3
4.372293765590435e-05,7.71017739433793e-05,3
0.0,0.0,3
3.355426335777624e-06,2.5072372158353793e-05,3
0.0,4.999086488937434e-05,3
0.0,0.0,3
0.0,0.0,3
8.546843175434264e-06,0.0,3
0.0,0.0,3
