UMAP1,UMAP2,cluster
3.2072957,3.1320808,2
3.6829042,3.7955582,2
3.3725371,3.6081777,2
2.9682786,3.1983502,2
3.3623776,3.842113,2
3.1611533,4.038181,2
3.0950232,3.820343,2
3.6438367,4.0330243,2
3.435486,4.1468754,2
3.3315268,4.2557664,2
3.7222984,4.079914,2
3.3305411,3.9332297,2
3.064429,3.7814863,2
3.0634444,3.4183161,2
2.9904318,3.2833846,2
3.0957637,2.9127107,2
3.0700848,2.5252547,2
2.8983028,2.495709,2
3.1955717,3.0586832,2
3.0386348,3.9733312,2
3.1003525,3.9838307,2
2.9630234,4.051382,2
2.9239633,4.120329,2
2.887936,4.2316604,-1
2.6726627,3.2958398,2
2.709323,2.9722018,2
2.76193,3.1815567,2
2.8665848,3.410334,2
2.9479706,3.3774395,2
3.3980448,3.848153,2
3.6013377,4.481929,2
3.5914829,4.5240593,2
3.4467878,4.535802,2
3.184256,4.2660995,2
3.0250967,4.1469474,2
3.0443168,4.154135,2
3.1779737,4.270829,2
3.0465605,4.1198287,2
3.2167714,4.0655284,2
3.7290723,3.132821,2
3.9189458,2.9122624,2
3.9118974,2.9153833,2
3.9614873,2.5553496,2
3.799168,2.497686,2
3.3133333,2.8872812,2
2.9722743,2.6623116,2
2.7992237,2.3135853,2
3.476524,2.6178946,2
3.3419447,2.9083128,2
3.1888852,3.7245917,2
2.9501734,3.6880434,2
3.0207033,3.77664,2
2.8296084,3.8129559,2
2.8241482,3.818775,2
3.6305273,3.9656954,2
3.6457684,4.2181535,2
3.4762008,3.9173782,2
3.00021,3.7666705,2
2.8477952,3.2777834,2
2.7873955,3.3215775,2
2.7357452,3.2516139,2
3.073354,3.7978745,2
3.618139,3.613363,2
3.5243728,3.3218668,2
3.2853575,3.0330055,2
3.413743,3.633054,2
3.1959543,3.7366865,2
3.0595746,4.150791,2
3.1032333,4.1914845,2
3.1763453,4.251683,2
3.0450816,4.211713,2
3.0264919,3.6211731,2
3.0563984,3.404001,2
3.042349,3.190752,2
2.873826,2.5570543,2
2.8271434,2.47173,2
2.8258755,2.1599894,2
2.871207,2.7803786,2
2.9429755,2.9770486,2
3.0162022,3.2561507,2
3.2490711,3.8310878,2
3.2573607,3.94976,2
3.1688144,3.9269636,2
2.8233829,3.8242896,2
2.774374,3.4504783,2
2.76337,3.3206198,2
2.7664032,3.6966786,2
2.7689795,3.7695844,2
2.850474,3.4799743,2
2.887269,3.4572778,2
2.949493,3.5702147,2
3.2661731,2.757175,2
3.3167074,3.2628064,2
3.3684769,3.157329,2
3.3535018,3.3588395,2
3.5206378,3.1969883,2
3.556226,3.6580076,2
3.3571014,3.5044694,2
3.3492398,3.337863,2
3.180686,3.501659,2
3.106663,3.4101424,2
2.9601502,3.2376845,2
2.9344015,3.3969796,2
3.3379686,3.745071,2
3.6236866,3.6111915,2
3.6108572,3.7540407,2
3.48388,3.8847115,2
3.579144,3.79515,2
3.5165865,3.480267,2
3.050241,3.6592195,2
3.2570856,3.7993703,2
2.8139148,3.2103248,2
2.7674768,3.0945435,2
2.7822342,2.7764957,2
2.7526915,2.6320148,2
2.777778,2.761352,2
2.7303383,3.3901358,2
2.822569,3.7397153,2
2.809265,3.6781795,2
2.7904813,3.6701202,2
3.0577917,3.8111322,2
3.6811614,3.4845967,2
3.8829272,3.7518046,2
3.3522978,3.4540255,2
3.6333907,3.60362,2
2.9532382,3.718049,2
2.874375,3.9137664,2
2.911175,3.7056012,2
3.1272347,3.4832993,2
3.216305,3.4739485,2
3.0815973,3.142442,2
3.2999613,3.0436585,2
2.9778836,3.4661899,2
3.4172637,3.6897316,2
3.3925662,3.8803124,2
3.4737442,3.8303092,2
3.4782147,3.4794257,2
3.5640128,3.5412445,2
3.4157455,3.1289122,2
3.7329645,3.2293112,2
3.825504,3.287782,2
3.9239306,3.7658417,2
4.0174737,3.5749147,2
3.8024335,3.8173695,2
3.6760144,3.4680064,2
3.72603,3.5280418,2
3.1782627,3.9588416,2
3.0085492,3.5624926,2
3.1115377,3.3576474,2
3.1194248,3.2667391,2
2.9424965,3.2708333,2
2.953247,2.972738,2
2.8856022,3.324038,2
2.9192715,3.4001706,2
2.8079548,3.1704342,2
3.0049362,3.305686,2
3.1151845,3.54753,2
3.5064778,3.216716,2
3.333567,2.67407,2
3.3342962,3.1981878,2
3.5506186,4.0083942,2
3.8401973,4.192904,2
3.8669925,4.272661,2
4.0061355,4.2638783,2
3.917849,4.341769,2
4.056551,3.7426474,2
3.9470155,3.6295834,2
4.0053964,3.600895,2
4.069904,3.8015134,2
4.0520997,3.6543362,2
3.797836,4.004255,2
3.751999,4.0086727,2
3.645485,3.9733045,2
3.6168892,4.0172324,2
3.6628268,3.8597257,2
3.2739716,3.54294,2
3.0084267,3.4815416,2
2.9190469,3.692414,2
2.8098981,3.4110823,2
2.8166013,3.1621253,2
2.9350364,2.8925307,2
2.751971,3.4603238,2
2.8036296,3.2035763,2
2.7465029,2.9865046,2
2.6833448,3.395887,2
2.7140002,3.295157,2
2.745262,3.0692174,2
2.9239132,2.591527,2
2.8355882,2.7190363,2
2.8210268,2.631668,2
2.884959,2.6295393,2
2.9311285,2.8893375,2
3.1309042,2.8776643,2
3.0333836,2.810269,2
3.2473044,3.1617668,2
3.1566188,3.1009805,2
3.1811087,3.041931,2
2.9678183,3.0965014,2
2.8860912,3.2405152,2
