UMAP1,UMAP2,cluster
4.3187265,4.765923,1
4.1419835,5.5418344,1
4.121991,5.2203536,1
4.0838933,4.672767,1
3.9056973,5.3557897,1
3.5865574,5.373717,1
3.6668184,5.2189875,1
4.084198,5.667488,1
3.761409,5.6076055,1
3.557497,5.5941668,1
4.027139,5.766128,1
3.9598188,5.427505,1
3.828823,5.0180793,1
3.9905736,4.8431735,1
4.147122,4.723227,1
4.3344026,4.4649596,1
4.6842036,4.293654,1
4.6844625,4.161925,1
4.4407744,4.66646,1
3.666039,5.2265425,1
3.661932,5.22911,1
3.5292678,5.1999583,1
3.5028694,5.203472,1
3.3190386,5.2540317,1
3.8956606,4.491934,1
4.149475,4.3341055,1
4.047768,4.408157,1
3.91367,4.618566,1
3.967252,4.7435846,1
4.0184,5.4285216,1
3.6614242,5.92247,1
3.6058106,5.970124,1
3.4601617,5.840184,1
3.5521746,5.48017,1
3.4917884,5.2743115,1
3.515475,5.325276,1
3.5110512,5.496577,1
3.5300593,5.2836137,1
3.7186666,5.383289,1
4.7162127,5.204682,1
4.9348617,5.264903,1
5.0327196,5.106544,1
5.257542,4.9769373,1
5.2065167,4.8283434,1
4.68518,4.775604,1
4.7369323,4.4088664,1
4.767692,4.057495,1
4.95337,4.6550436,1
4.573818,4.647654,1
3.9736903,5.1811237,1
3.779262,4.935475,1
3.7297952,4.999266,1
3.6303706,4.9552965,1
3.5748103,4.967957,1
4.030888,5.579695,1
3.821824,5.8554664,1
3.950369,5.5178123,1
3.736407,5.034627,1
4.002555,4.547474,1
3.977327,4.562976,1
4.011199,4.5083427,1
3.7431967,5.0489736,1
4.222554,5.201964,1
4.326287,5.11897,1
4.4087396,4.755155,1
4.1085944,5.21013,1
3.9200544,5.180013,1
3.468122,5.3166776,1
3.5174894,5.459689,1
3.5603106,5.5009794,1
3.464486,5.352849,1
3.9222558,4.973596,1
4.069701,4.80008,1
4.209768,4.683285,1
4.563565,4.144979,1
4.6099086,4.0876136,1
4.8574347,3.8648975,1
4.3885546,4.302019,1
4.292668,4.473224,1
4.0927463,4.736033,1
3.7879205,5.2068353,1
3.7776217,5.3636136,1
3.7472456,5.2921534,1
3.5660708,4.9510565,1
3.8277931,4.694856,1
4.0056095,4.513768,1
3.6282146,4.8209696,1
3.5976408,4.8788013,1
3.8576045,4.715998,1
3.906504,4.7182703,1
3.8416588,4.8976736,1
4.629145,4.5580792,1
4.356734,4.950282,1
4.4479256,4.952878,1
4.2352934,5.0426965,1
4.5763793,5.057576,1
4.2118325,5.5200624,1
4.2456713,5.0208955,1
4.3731475,4.9871473,1
4.0294275,5.0184283,1
4.048622,4.88586,1
4.086912,4.637137,1
3.9469063,4.789715,1
3.9685125,5.313838,1
4.420352,5.4063535,1
4.274117,5.5534334,1
4.100599,5.4846787,1
4.2769656,5.459687,1
4.3842406,5.2061787,1
3.8652432,5.0546703,1
3.8686774,5.2597036,1
4.0679994,4.574,1
4.1377783,4.4031363,1
4.3544884,4.2162867,1
4.420347,4.1529465,1
4.4028106,4.2621784,1
3.8247619,4.6245856,1
