UMAP1,UMAP2,cluster
6.6411424,3.0598385,1
7.3937745,2.7087395,1
7.011389,2.749471,1
6.618415,2.8054848,1
7.091625,2.4496195,1
7.0488877,2.2277126,1
6.935995,2.3390443,1
7.5009995,2.4788563,1
7.315101,2.2069638,1
7.2200894,2.06895,1
7.4917436,2.4044082,1
7.20991,2.4101427,1
6.736836,2.5590212,1
6.6162252,2.7091296,1
6.6571674,2.8944392,1
6.426325,3.1583548,1
6.357318,3.6411726,1
6.205496,3.6452665,1
6.604875,3.2397056,1
6.874763,2.276734,1
6.9338846,2.2924907,1
6.8201365,2.1672225,1
6.851616,2.101675,1
6.8387136,1.9245613,1
6.321016,2.7776237,1
6.2042985,3.0132892,1
6.3094215,2.9028869,1
6.458319,2.691041,1
6.515042,2.7489643,1
7.1676035,2.5125527,1
7.584123,2.0877583,1
7.604585,2.0000973,1
7.4350133,1.931332,1
7.15429,2.0673952,1
6.882704,2.1018078,1
7.04327,2.1235223,1
7.125067,2.079824,1
6.9676914,2.1020188,1
7.054014,2.2774262,1
7.2248144,3.3184292,1
7.3806067,3.4644704,1
7.252789,3.446228,1
7.1780047,3.838151,1
7.038809,3.8612082,1
6.642019,3.2847292,1
6.364091,3.6319354,1
6.163789,3.7598875,1
6.8123326,3.6764772,1
6.6106296,3.3118064,1
6.96878,2.4492002,1
6.6996446,2.468902,1
6.8262534,2.4039383,1
6.6471353,2.3482993,1
6.5840845,2.3030462,1
7.361751,2.4845588,1
7.517302,2.3140936,1
7.222168,2.5158672,1
6.7337356,2.4392018,1
6.421396,2.8504527,1
6.3943944,2.7684317,1
6.3086457,2.771314,1
6.7927647,2.440421,1
7.134467,2.9039233,1
7.0785575,3.008094,1
6.7059956,3.2255635,1
7.169225,2.779856,1
6.950645,2.5081265,1
6.958127,2.1227524,1
7.06429,2.092195,1
7.092674,2.1063662,1
7.0034523,2.0791478,1
6.742847,2.6348393,1
6.5776067,2.859374,1
6.6001287,2.9978359,1
6.186123,3.6145573,1
6.144634,3.6369646,1
6.0757575,4.05011,1
6.26255,3.3817267,1
6.3866863,3.2084248,1
6.5211473,2.9299998,1
6.9313197,2.4737308,1
7.03337,2.4185755,1
6.9429455,2.3989356,1
6.6187944,2.301599,1
6.484286,2.671183,1
6.402113,2.6981533,1
6.496199,2.4334927,1
6.5281706,2.379664,1
6.5231385,2.6577568,1
6.550532,2.6993525,1
6.591987,2.6593623,1
6.7235546,3.3967435,1
6.8227797,3.0628147,1
6.8956366,3.1201167,1
6.950169,2.9383771,1
7.0497127,3.2176661,1
7.3249965,2.7038794,1
6.853303,2.7475317,1
6.8528237,2.9621663,1
6.8263855,2.731066,1
6.671252,2.8191328,1
6.4944887,2.8847394,1
6.492716,2.7556188,1
6.987881,2.5301788,1
7.374412,2.853321,1
7.3867135,2.7044969,1
7.3170843,2.5247211,1
7.279727,2.6741123,1
7.077414,2.964732,1
6.758586,2.5830553,1
7.019505,2.55205,1
6.4030166,2.8741968,1
6.2650256,2.9983523,1
6.2049375,3.3057086,1
6.174359,3.429148,1
6.1729693,3.3449056,1
6.381832,2.6739883,1
6.55648,2.4426758,1
6.5158906,2.509543,1
6.4951234,2.4506516,1
6.816715,2.4685533,1
7.241805,2.9606023,1
7.622369,2.832037,1
6.956942,2.8193038,1
7.282941,2.88609,1
6.7101746,2.489645,1
6.7177563,2.2799454,1
6.669184,2.4975193,1
6.7961826,2.6858387,1
6.83328,2.7573783,1
6.6853065,3.1692748,1
6.7145443,3.3207462,1
6.6685557,2.7958496,1
7.0238485,2.7413685,1
7.1295314,2.4852617,1
7.153134,2.5816913,1
6.9596043,2.8418958,1
7.247801,2.8898456,1
7.0479016,3.1580014,1
7.2109423,3.2193444,1
7.3689938,3.1051655,1
7.5606427,2.8571315,1
7.5785832,3.0479908,1
7.5504546,2.7577422,1
7.2227535,2.910071,1
7.297086,2.9028544,1
6.996876,2.3261123,1
6.681364,2.6684585,1
6.650801,2.876884,1
6.655265,3.0232806,1
6.5289974,2.9316428,1
6.471027,3.1127067,1
6.524071,2.859129,1
6.4724317,2.7918153,1
6.3573356,3.0522478,1
6.51892,2.8308275,1
6.823345,2.6336958,1
6.897683,3.1514828,1
6.6283545,3.5456645,1
6.7533174,3.1394258,1
7.37199,2.4339023,1
7.710579,2.326709,1
7.774702,2.3016126,1
7.8838534,2.3626158,1
7.8286376,2.2514367,1
7.735059,2.929352,1
7.6216826,2.9719357,1
7.6031566,3.0705385,1
7.792606,2.819274,1
7.7175355,2.9441502,1
7.6156464,2.5424745,1
7.504635,2.5160406,1
7.411043,2.575102,1
7.370489,2.4566395,1
7.3847747,2.6066337,1
6.915921,2.8087673,1
6.6368117,2.7100518,1
6.6071815,2.5261283,1
6.4426823,2.7075188,1
6.3782883,2.9470038,1
6.3606524,3.2498987,1
6.46198,2.669153,1
6.418601,2.950242,1
6.2251873,3.1167035,1
6.2961254,2.6799536,1
6.29193,2.7802513,1
6.2678413,2.974907,1
6.30132,3.5616624,1
6.22404,3.3741827,1
6.2055793,3.378882,1
6.219831,3.5082846,1
6.3492804,3.1804771,1
6.501652,3.3440757,1
6.4161644,3.4206018,1
6.6604767,3.1947467,1
6.6313496,3.203435,1
6.6502457,3.1761124,1
6.5328155,3.1008399,1
6.49946,2.9304667,1
6.517984,2.9467816,1
6.6507955,2.9087245,1
6.649267,3.0271459,1
6.913405,2.9257429,1
6.9149556,3.4021683,1
6.374313,3.2731366,1
6.3783984,2.834034,1
6.67358,2.531846,1
6.6406837,2.5206218,1
6.543222,2.735641,1
6.560729,2.8103833,1
6.740677,3.00333,1
6.9003816,2.8724453,1
7.338757,2.4013002,1
7.5587287,2.2207503,1
7.402858,2.162821,1
7.1699924,2.0285544,1
6.975321,2.280874,1
6.611046,2.589704,1
6.5708895,2.4328728,1
6.4399366,2.790788,1
6.408498,3.2540226,1
6.7445264,3.0114758,1
6.7853513,2.5383508,1
6.2615976,3.1501968,1
6.2258654,3.2259204,1
6.3062763,3.2928557,1
6.372715,3.3579059,1
6.440121,3.6603844,1
6.538104,3.6077795,1
6.727539,3.2175891,1
6.965172,3.3781114,1
6.3377686,3.2257197,1
6.5768676,3.0923445,1
6.734224,3.192136,1
6.4182954,3.3834703,1
6.4036274,3.4368486,1
6.6616764,3.4679565,1
6.446471,3.4496422,1
6.7108774,3.4117217,1
6.7402883,3.399391,1
6.633159,3.0011907,1
7.0713334,2.7040079,1
6.9636283,2.640465,1
6.7613907,2.736184,1
6.808451,2.706229,1
6.8309116,2.757265,1
6.7376423,2.8201964,1
6.6235027,2.929636,1
6.810184,3.0061657,1
6.6958594,3.0323415,1
6.4624596,3.3212554,1
6.736096,3.0775788,1
7.126648,3.414369,1
7.4019876,3.0727208,1
7.2120686,2.9357543,1
7.2193546,3.037223,1
6.6880627,3.304833,1
6.6114116,3.6470242,1
6.607457,3.6363916,1
6.491369,3.660696,1
6.6758647,3.9197097,1
6.4697423,3.314718,1
6.3594,3.0755029,1
6.3024054,3.2859342,1
6.1985927,3.6229591,1
6.092124,3.683019,1
6.336559,3.912925,1
6.438848,3.84442,1
6.746332,3.1099844,1
6.9739842,2.1413956,1
6.9618607,1.9016229,1
6.930775,1.866019,1
6.907266,1.8521948,1
6.8958526,1.8969978,1
6.9566708,2.0504303,1
6.987413,2.037567,1
7.1538205,2.325995,1
7.5993505,2.1462557,1
7.612884,1.9773436,1
7.642998,1.9446722,1
7.8333025,2.2826579,1
7.9269395,2.3972194,1
7.845082,2.6357899,1
7.7789626,3.0799687,1
7.6937647,3.040896,1
6.922659,3.6677985,1
6.388496,3.3290896,1
6.2152033,3.3258917,1
6.4059644,3.2807384,1
6.3125563,3.0989172,1
6.6336966,2.7884507,1
6.655866,2.5958297,1
6.7373533,2.4861388,1
6.5774894,2.4677305,1
6.551859,2.5317852,1
6.645757,2.4235568,1
6.5259004,2.5751827,1
6.354644,3.2355688,1
6.8459897,3.1834943,1
7.0506287,2.3705447,1
6.7634187,2.5280666,1
6.9960666,2.4747958,1
7.322541,2.7245967,1
6.7679734,3.0030842,1
6.678194,3.2353272,1
6.948886,3.3241172,1
6.8076773,3.2459295,1
6.781079,2.060688,1
7.1533203,1.924425,1
7.317609,1.9079444,1
7.2873383,1.8572072,1
7.273952,1.8171611,1
7.6742725,2.1268334,1
7.614082,2.03009,1
7.4330535,2.2058775,1
7.267772,2.2746663,1
6.709715,2.621492,1
6.3923097,3.008925,1
6.3685164,3.0180507,1
6.978794,2.5602942,1
6.9647536,2.527909,1
7.3935895,2.5085123,1
7.2656384,2.3716865,1
6.76022,2.898755,1
6.560562,3.208065,1
6.533184,3.3629024,1
6.3997326,3.1611116,1
6.4585457,3.0126204,1
6.4248047,2.659246,1
6.3955097,2.8221226,1
6.3993993,2.6743734,1
6.4311166,2.5967832,1
6.4991198,2.6068866,1
6.6822166,2.6529648,1
6.552161,2.572318,1
6.6320934,2.5897064,1
6.503567,2.8606923,1
6.4225903,2.8356755,1
6.3875437,2.8276768,1
6.427312,3.242676,1
6.4385295,2.9695096,1
6.527368,2.9750483,1
6.6063952,2.9383848,1
7.0644875,2.826234,1
7.0658245,2.3748062,1
7.071271,2.2773838,1
7.0096965,2.457448,1
6.741803,2.2122097,1
6.661003,2.280495,1
