UMAP1,UMAP2,cluster
8.014095,1.2598714,1
6.853892,1.3279213,1
9.027711,1.245241,1
7.932739,0.5118097,1
7.942014,1.7066013,1
7.436995,1.3180151,1
9.076359,0.26867184,1
9.344943,0.26903123,1
7.842986,0.5582666,1
8.225896,2.7248566,1
10.011278,1.2775126,1
8.8929205,-0.8379557,1
8.985657,1.1003851,1
6.904978,1.2357922,1
7.265067,3.5035248,1
5.8993106,2.969035,1
5.73941,2.42882,1
4.113632,3.7452664,3
4.016451,3.6070185,3
8.8011675,-1.2763691,1
8.859188,1.0280956,1
9.399381,0.25836593,1
8.944339,0.45550388,1
8.419058,0.666538,1
7.6053934,1.5339172,1
9.403034,0.46716124,1
8.793426,-0.6931871,1
6.7690215,1.4160968,1
8.292511,1.5174807,1
9.386984,0.72941804,1
9.034553,0.31918815,1
8.854127,0.20527317,1
7.5239882,0.7080436,1
8.880747,-0.7233207,1
9.255627,0.38285863,1
9.148094,0.5981379,1
9.337645,0.18582052,1
11.371671,0.3372362,1
8.308224,1.224384,1
8.658797,0.6622744,1
8.5418825,-0.40894565,1
-0.46255255,3.5895617,2
9.269257,1.2389991,1
9.391424,0.21270353,1
7.9421186,1.5805887,1
8.825887,0.48420078,1
6.503685,1.4720417,1
8.208332,1.9179692,1
9.805067,1.4633812,1
8.657163,2.0005527,1
9.228965,0.22592473,1
9.368182,0.18603447,1
6.741254,1.3728337,1
10.069949,1.4845275,1
11.541137,0.2566967,1
9.308569,0.3449807,1
8.285,1.2711092,1
8.7301655,1.0758584,1
6.5487137,1.4536513,1
9.105858,0.2488253,1
7.13088,1.8802196,1
7.641914,0.6580352,1
9.7911825,1.4406805,1
7.9546595,1.1543622,1
8.66922,1.8135957,1
8.930102,0.5944425,1
6.1941934,1.4519976,1
9.2002,0.65779245,1
9.245663,0.33457458,1
9.299938,0.21579386,1
8.89702,0.47950846,1
7.043445,6.720984,3
9.109717,0.30614334,1
7.788557,1.5293708,1
6.5898685,1.9167106,1
7.34218,1.1827143,1
11.564683,0.24633732,1
7.8773317,1.5886012,1
9.655684,15.536342,0
11.254022,0.31976777,1
7.715672,0.8580956,1
9.143941,0.3466998,1
9.248305,0.23247384,1
7.706927,1.7100395,1
8.403037,2.0370533,1
6.054226,3.0021417,1
8.014759,1.3571904,1
9.186292,0.2517002,1
9.131728,0.46273205,1
7.577499,1.2505746,1
7.4287624,0.7617528,1
7.3748484,1.0171314,1
9.299947,0.82440543,1
8.095929,2.153881,1
9.098753,0.24032179,1
8.775226,-1.184369,1
7.776645,0.8517967,1
8.776162,-0.51482594,1
8.105008,0.91405636,1
9.063715,0.5652186,1
6.545441,1.6196246,1
11.640135,0.21092273,1
10.695796,1.718381,1
7.6451445,1.2197815,1
9.07167,0.12721443,1
7.861179,0.83205456,1
9.400981,3.2875886,1
8.921601,0.42935923,1
9.08425,0.18300308,1
8.058511,0.9485425,1
7.860573,1.7276195,1
6.820419,1.7910883,1
8.94853,0.65486425,1
7.139885,1.3515619,1
7.9483004,1.4932535,1
7.446776,0.9709364,1
7.5704093,1.3572559,1
9.078774,0.48492822,1
9.361404,0.18725476,1
9.246748,0.83192635,1
8.051422,1.0628747,1
7.404368,1.4263018,1
7.670071,0.5256591,1
8.190843,2.0903277,1
9.084978,0.19942947,1
9.109141,0.54901516,1
7.949731,1.353447,1
9.241778,0.91546756,1
9.0696,0.7132717,1
8.2325,2.3957946,1
9.156837,0.3487957,1
8.516817,1.2856139,1
7.3131094,1.3283153,1
8.256352,1.1211715,1
9.084761,0.69411415,1
7.6767864,0.54459447,1
8.756572,0.68342227,1
8.538799,1.9519384,1
7.7078876,1.4518862,1
8.871622,0.35376486,1
8.490626,1.6978047,1
8.745663,0.58378905,1
8.558423,1.892397,1
8.712062,1.8940116,1
8.544256,1.8153601,1
8.997138,0.469062,1
9.926141,1.290825,1
8.671727,-0.7482361,1
8.859894,0.48388982,1
17.4957,-3.608032,1
7.318876,3.31541,1
9.004339,0.787598,1
7.687677,1.3149165,1
7.6972895,1.5319934,1
9.276145,0.27874753,1
8.981602,0.4273029,1
8.244265,1.8281319,1
8.550165,1.2448256,1
8.056831,0.7845223,1
7.071357,1.5502712,1
7.850078,1.5084587,1
8.374317,1.9742873,1
8.068572,0.9475371,1
8.849517,1.707014,1
9.097031,0.3128865,1
8.0488405,1.6125681,1
7.7009363,0.7750469,1
8.338423,2.0662398,1
8.640691,1.8776276,1
7.8038564,0.7479665,1
8.594967,1.9189528,1
8.993753,0.44905403,1
9.972493,1.4151782,1
7.567895,0.90352964,1
8.755559,-0.8050965,1
7.8936296,0.60419226,1
7.96506,0.9467183,1
9.256875,0.6116941,1
8.432187,0.62752676,1
9.210223,0.34581992,1
7.601672,1.5564823,1
-0.27458107,3.5725975,2
7.0877156,1.3797007,1
9.378194,0.65702456,1
9.236789,0.47469068,1
7.01329,6.5538692,3
1.6041534,5.2395735,3
7.461954,1.6251314,1
7.1895623,1.6137259,1
8.116505,1.5342423,1
9.31869,0.8314587,1
