dataset,computer,zarr_path,smoothing,peak_method,normalisation,omp_coefs,bin_tol,dimred,n_components,clustering,n_clusters,run_id,n_features,n_clusters_found,davies_bouldin,calinski_harabasz,paep,runtime_sec,slide,matrix,sample_name,experiment,tissue,filtering
DHB_1_1hnr,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\1 1hnr.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_1_1hnr_OMP_pca10_k3,226,3,0.4599157025378271,12103.86506048176,1.112037809285516,20.266579200004344,060326 DHB Slide 11 50 um,DHB,1 1hnr,liver_PC,liver,
DHB_1_pra,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\1 pra.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_1_pra_OMP_pca10_k3,224,3,0.6877321391274495,13112.091709804665,1.8956603477988407,23.39955849999388,060326 DHB Slide 11 50 um,DHB,1 pra,liver_PC,liver,
DHB_10_1hnr,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\10 1hnr.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_10_1hnr_OMP_pca10_k3,226,3,0.46199589830413,13211.634716674658,1.199360341151386,15.623283300010373,060326 DHB Slide 11 50 um,DHB,10 1hnr,liver_PC,liver,
DHB_10_pra,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\10 pra.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_10_pra_OMP_pca10_k3,206,3,0.6288888629874448,3798.7283361681934,3.109452736318408,13.326373100004275,060326 DHB Slide 11 50 um,DHB,10 pra,liver_PC,liver,
DHB_21_1hnr,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\21 1hnr.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_21_1hnr_OMP_pca10_k3,228,3,0.6984021309124256,4696.461059772429,2.6897353881942423,15.175327700009802,060326 DHB Slide 11 50 um,DHB,21 1hnr,liver_PC,liver,
DHB_21_pra,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\21 pra.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_21_pra_OMP_pca10_k3,216,3,0.5731203470677141,8459.970510739084,1.6100766703176344,17.116106699992088,060326 DHB Slide 11 50 um,DHB,21 pra,liver_PC,liver,
DHB_28_1hnr,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\28 1hnr.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_28_1hnr_OMP_pca10_k3,228,3,0.6083389809288938,9313.89087363465,1.8229476945073275,16.724645399997826,060326 DHB Slide 11 50 um,DHB,28 1hnr,liver_PC,liver,
DHB_28_pra,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\28 pra.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_28_pra_OMP_pca10_k3,219,3,1.004682987851002,6942.348747478623,4.1101152368758,14.143694300000789,060326 DHB Slide 11 50 um,DHB,28 pra,liver_PC,liver,
DHB_49_1hnr,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\49 1hnr.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_49_1hnr_OMP_pca10_k3,208,3,0.7032961883745786,14417.381416960472,2.6136427646031657,19.52862530000857,060326 DHB Slide 11 50 um,DHB,49 1hnr,liver_PC,liver,
DHB_49_pra,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\49 pra.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_49_pra_OMP_pca10_k3,209,3,0.8688078759578236,11112.24894522661,2.222680625032232,20.429891699997825,060326 DHB Slide 11 50 um,DHB,49 pra,liver_PC,liver,
DHB_matrix_1,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\matrix 1.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_matrix_1_OMP_pca10_k3,254,3,1.6187040626667706,126.5480558089709,63.01969365426696,10.18494429999555,060326 DHB Slide 11 50 um,DHB,matrix 1,liver_PC,liver,
DHB_matrix_2,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\matrix 2.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_matrix_2_OMP_pca10_k3,243,3,1.692503259963497,69.19416418924051,49.07407407407408,9.659243999994942,060326 DHB Slide 11 50 um,DHB,matrix 2,liver_PC,liver,
DHB_matrix_3,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\matrix 3.zarr,,OMP,TIC,700,0.005,pca,10,kmeans,3,DHB_matrix_3_OMP_pca10_k3,238,3,1.3427400997478731,87.6567082328956,22.87234042553192,10.287990500000888,060326 DHB Slide 11 50 um,DHB,matrix 3,liver_PC,liver,
DHB_1_1hnr,PC,C:\Users\i6338212\data\spatialdata_zep\060326 DHB Slide 11 50 um\1 1hnr.zarr,,OMP,TIC,700,0.005,spca,10,kmeans,4,DHB_1_1hnr_OMP_spca10_k4,226,4,0.8264719018811844,10337.732629510489,2.4047817625799275,23.01882800000021,060326 DHB Slide 11 50 um,DHB,1 1hnr,liver_PC,liver,
