mz,p_value,adjusted_p_value,significant_after_fdr
102.89801854357344,2.6702462137783233e-17,8.271250467069441e-17,True
104.0158123531549,1.0661748064096822e-27,4.7510245759308645e-27,True
105.03497729718508,7.07194474323973e-28,3.2076320799694487e-27,True
106.02126595269814,4.478016240396812e-23,1.6976360075534186e-22,True
107.00755460821122,2.090577731085736e-07,3.847874954317224e-07,True
107.89521439817298,7.96396585152759e-22,2.8897818946971538e-21,True
109.96642057475044,3.4892582843074036e-45,2.6066811888649425e-44,True
113.02391540684096,0.25948294638642655,0.26792141618761117,False
114.96361642935,0.08203095768160296,0.08717934414697552,False
117.03482260592745,0.028124023341557464,0.030790956589463774,True
119.99368857246664,1.7298950329150707e-14,4.882148204004755e-14,True
120.97997722797972,0.8183240022237458,0.8281047671905635,False
122.032018460527,1.5427257644382923e-05,2.332454429567418e-05,True
123.05118340455718,2.6642273537846594e-09,5.413709982890428e-09,True
124.00459577155314,7.282215567803898e-06,1.156051721388869e-05,True
125.97717308257928,0.9402758387190977,0.9402758387190977,False
129.0017916261527,0.003684028835489095,0.004292400569790046,True
131.00724522569595,5.258806984321222e-05,7.504140303469609e-05,True
131.99353388120903,2.219641060634283e-09,4.546684108073451e-09,True
135.9715647917784,1.1307642440456997e-35,6.679398092735063e-35,True
136.99072973580857,1.2666318117497293e-26,5.36207466974052e-26,True
137.97701839132165,1.7401178782990323e-53,2.009045186763428e-52,True
138.99618333535182,5.233006957153394e-61,7.818728041864482e-60,True
139.78521425976228,5.730891272885602e-44,4.043462175869285e-43,True
140.77150291527536,4.2353584661582344e-38,2.623856220498028e-37,True
141.79066785930553,1.038866741771684e-19,3.5182953654667704e-19,True
142.908461668887,0.0006373347864308451,0.0007959576278811822,True
144.91391526843026,0.006834812906044937,0.007855395828667032,True
146.06458536652883,1.3876378610329232e-30,7.049200334047249e-30,True
147.0508740220419,1.1973471328499383e-19,4.0016601545247934e-19,True
149.08920391010224,2.34313747993919e-35,1.293819391096857e-34,True
150.07549256561532,2.0930422498142667e-34,1.1075681905267161e-33,True
154.0206471876676,3.6154458190870647e-47,2.7827976910548923e-46,True
155.03981213169777,1.1186619928866003e-50,1.0523709118266536e-49,True
156.02610078721085,1.816914143731588e-52,1.9229008021159305e-51,True
157.04526573124105,2.845346543190775e-61,4.5169876373153553e-60,True
158.0315543867541,5.80584019232721e-36,3.5111509734550265e-35,True
158.98496675375006,2.165214042727119e-53,2.391149421098644e-52,True
160.00413169778022,5.3220493731288367e-45,3.8622872593563556e-44,True
161.02329664181042,7.28307425943572e-17,2.2022629308293723e-16,True
164.9026986868285,1.4771544495360457e-16,4.3627584904901814e-16,True
169.0779873285005,2.978397957330012e-11,7.070215711792739e-11,True
170.09715227253065,8.4064842917249e-39,5.619071079205591e-38,True
171.08344092804373,1.2262226113158524e-14,3.4995566660025454e-14,True
172.0697295835568,1.3414012951341824e-34,7.249275084342177e-34,True
173.088894527587,1.8093508129119051e-25,7.29484295999403e-25,True
174.99571926157893,2.5683510248019555e-38,1.6727209238453762e-37,True
176.0148842056091,1.7943035123768444e-64,4.143209928579259e-63,True
177.03404914963926,1.975295241199972e-76,4.030623547767796e-74,True
178.18471924773786,1.6659906276234445e-16,4.863926659958102e-16,True
179.2367604802851,1.3132663443516653e-64,3.33569651465323e-63,True
180.3545542898666,9.154210796871649e-67,2.9064619280067488e-65,True
182.03124500423883,6.367142466892548e-07,1.115347714890143e-06,True
183.05040994826905,1.453900641575695e-08,2.8406981766171273e-08,True
184.0695748922992,1.769972450422569e-55,2.3031401768507368e-54,True
185.08873983632932,1.3881913332342153e-49,1.1753353288049689e-48,True
186.6010491081161,3.0473761552842856e-05,4.448468640472463e-05,True
188.14623466841988,1.4444116544149966e-19,4.764682600278041e-19,True
191.5653686741985,1.6144906952108198e-07,3.0152987984084427e-07,True
193.01192536895104,2.0106062423578265e-49,1.595918704871525e-48,True
194.0310903129812,8.471708896768465e-54,1.0246733617996144e-52,True
195.01737896849423,2.8369184078994014e-50,2.5734902700230284e-49,True
197.02283256803756,3.546836106075406e-27,1.5269430015985646e-26,True
198.00912122355055,1.0187524095668794e-67,5.175262240599748e-66,True
199.02828616758077,3.173719328951021e-76,4.030623547767796e-74,True
200.54059543936745,2.45267796905903e-11,5.990194270586477e-11,True
202.21728615373968,7.147045271901156e-29,3.4251877340809316e-28,True
203.23645109776987,8.829236399867899e-20,3.030575737251955e-19,True
205.57066758248413,0.0020383371277270133,0.002430693100669772,True
207.08297685427084,7.324718769274185e-11,1.661141578031824e-10,True
209.08843045381408,2.5905520781386184e-17,8.123459603051964e-17,True
210.666492302635,4.19782041353253e-07,7.456268426834004e-07,True
214.54589434765307,0.0018109454457559758,0.0021697176567076312,True
216.51847165867923,5.706045233184538e-09,1.1322933509600568e-08,True
218.0965335075001,1.2275346675515996e-13,3.3526215651409277e-13,True
220.5293788577657,3.9227789944727323e-13,1.027201922263994e-12,True
222.63346132286023,1.2813252063972047e-06,2.188587729862168e-06,True
227.7950386200453,4.862981902606307e-06,7.768537127433974e-06,True
229.1100901607294,0.00012463959490411033,0.00017112679516564336,True
230.65527572103323,0.0004184893812759778,0.0005395751413406008,True
232.1018324157857,1.750351878061709e-12,4.445893770276741e-12,True
236.63876023114588,1.4155693807782297e-06,2.3654909389320416e-06,True
240.22227567951003,0.0020960106359746563,0.002487788324941882,True
242.6879973182927,3.1089128461157477e-06,5.029706133206369e-06,True
244.69345091783595,8.360516957835042e-11,1.879266643619558e-10,True
246.633151940345,0.0003289135518124602,0.0004262451130630862,True
248.73723440543955,1.0308466812742003e-07,1.9395189410640507e-07,True
250.24954367722623,0.07226660924291287,0.07712486868781457,False
256.75904880361253,0.19996118853025158,0.20730670157830164,False
258.6001209605703,0.8418344436145628,0.8485156693575355,False
260.7370797141819,4.670069672153349e-09,9.368080732162217e-09,True
262.6110281596567,3.289411233082953e-14,9.081635360902935e-14,True
264.6493580477171,0.00010096775451122102,0.00014014103631612097,True
266.7534405128116,1.4706911938851852e-05,2.2368596601607008e-05,True
268.7588941123549,6.980795805412876e-11,1.5974073284458293e-10,True
270.73147142338104,0.010758309988997655,0.012253859808095985,True
272.7369250229243,0.09053735738802426,0.09581870323565901,False
274.7752549109846,1.3168458461824534e-26,5.483259752956445e-26,True
276.68207964497657,0.056558601322343305,0.060872392948623726,False
278.753285821554,0.0008798959898183002,0.001084920298125477,True
280.8573682866486,6.908434073788182e-05,9.694708589735901e-05,True
282.8628218861918,1.3114427180544193e-13,3.543685642402367e-13,True
285.2299146594232,1.2992599162227536e-06,2.200080124803863e-06,True
288.22165691447947,4.406964202441916e-05,6.36005061034231e-05,True
290.621625976228,1.6173050209073826e-05,2.4307424574584328e-05,True
292.65995586428835,2.0403901286168898e-05,3.030754927887076e-05,True
294.63253317531445,0.03209735475422038,0.03499024938872093,True
297.1968836796484,0.7381692629593616,0.7499799711667113,False
300.1886259347048,2.9635287935964086e-07,5.338555415414807e-07,True
303.3447496323466,0.00027199210562940955,0.0003579585224345597,True
306.3036155988858,2.07308419751035e-08,4.019567833340679e-08,True
308.6378320836001,1.6531089080405756e-10,3.6197384710543637e-10,True
311.23505887645115,4.602152952932622e-17,1.4083696988492604e-16,True
314.1281722659561,4.486986489814529e-67,1.6281350977327005e-65,True
316.65964648177305,8.236322789662675e-10,1.7147754004707538e-09,True
318.7637289468676,0.02531642829922188,0.02783711163637384,True
321.2952031626845,0.02358773561215618,0.02616281591916013,True
324.2211928407066,0.10703192724335166,0.11280543369216316,False
327.0156773646603,0.0001903295594681704,0.0002557868153699221,True
330.138924773785,6.348402082752405e-43,4.358092240592192e-42,True
333.1635433173584,3.2665263158652613e-56,4.609431579054313e-55,True
336.12240928389764,2.990972664205818e-38,1.8992676417706947e-37,True
338.78538865378295,4.684040366081109e-09,9.368080732162217e-09,True
341.05385256146303,4.360210257507234e-24,1.7304584459481837e-23,True
343.19081131507465,0.0005335263826526636,0.0006742074686257539,True
346.1168009930968,2.778316170110809e-63,5.428402363139581e-62,True
349.2071721137044,7.124458708385703e-20,2.478921249219135e-19,True
352.1331617917265,7.496332266763233e-22,2.7595194141418278e-21,True
354.6646360075434,0.5351358922686427,0.5458815929166073,False
358.14952259035624,1.7715229282546003e-10,3.845870288689474e-10,True
361.1412648454125,1.0346640750544641e-29,5.1530328443889e-29,True
364.2645122545373,0.0017396648913241418,0.0020941937554328533,True
368.2096668765896,1.530190121545003e-35,8.833370247100699e-35,True
372.1876977871589,0.00018135781540888464,0.00024502598464817393,True
375.14656375369816,3.908143892861036e-73,3.3088951626223436e-71,True
378.13830600875445,2.1574084902183074e-29,1.0538110702220193e-28,True
382.2478420733923,8.933723144154518e-06,1.4007195547007702e-05,True
384.8779451547605,2.359848896234522e-11,5.8194332004229964e-11,True
387.1135327739234,0.0006392730554636266,0.0007959576278811822,True
390.6641719337705,0.055073291581815544,0.05952602579481339,False
393.1298935725532,1.5802958455290846e-28,7.433243421562731e-28,True
396.1216358276095,7.517085815609426e-51,7.343614604479978e-50,True
398.6531100434264,2.301292352599475e-13,6.088836016252778e-13,True
403.91331620616273,8.114155371900086e-09,1.5976709026842032e-08,True
406.576295576048,0.0006158308861865903,0.0007743616093633363,True
410.7844605062371,0.0004522526724619261,0.0005750525270774111,True
414.8611202823578,3.571840498231464e-05,5.18427135171881e-05,True
419.20079036661537,1.743219068883012e-09,3.599818239807196e-09,True
422.29116148722295,0.0012510661868041619,0.0015351246929867493,True
426.40069755186073,8.861205054304115e-11,1.9743386699940748e-10,True
429.3924398069171,1.4242462449856063e-05,2.1792683507611086e-05,True
434.817027412239,2.9635621201819625e-08,5.7026119585319585e-08,True
438.3347902835689,4.652587840859548e-26,1.9060601799650407e-25,True
441.9511820204502,2.3303732204676376e-07,4.258379841717841e-07,True
446.1593469506393,3.089622089716449e-10,6.594655552840151e-10,True
450.1702541497258,0.008817875315839056,0.010088920406410452,True
454.8058108306372,4.2103630779067826e-10,8.911935181569357e-10,True
458.8495943182408,5.152161306953746e-11,1.2005953871250014e-10,True
462.49886234363913,0.011358016953792217,0.012879179938675104,True
469.60014066333326,1.2838565816907993e-06,2.188587729862168e-06,True
478.0822231007457,2.675457321719846e-10,5.759035251837635e-10,True
480.64657360507965,5.6934142770167536e-05,8.078923052303103e-05,True
484.1972127649268,7.921831354946158e-07,1.3781816192851536e-06,True
488.1752436754961,1.1515147257445736e-18,3.749804363322073e-18,True
494.7176250903995,4.5345250555117716e-13,1.1752748613265204e-12,True
499.4846869253793,4.1620205537242135e-12,1.0466863570751982e-11,True
503.6599755670513,0.00010529424731120373,0.00014535184139698775,True
509.3804497690272,1.406955054806456e-06,2.3654909389320416e-06,True
513.489985833665,0.00044001328004371614,0.0005644614804601207,True
517.8296559179224,0.038596691733695974,0.04189555427503751,True
522.6624703299365,2.305061325347084e-05,3.403985910686973e-05,True
528.7774599941175,1.9338011999447161e-07,3.5852956553719553e-07,True
534.1691713109224,2.7766203019190607e-11,6.716776730356585e-11,True
538.1800785100088,2.157985002821138e-14,6.023386711171089e-14,True
545.1498516756345,1.9474632557609763e-49,1.595663441817058e-48,True
550.1470475302341,1.8134962022446747e-55,2.3031401768507368e-54,True
553.1716660738075,3.6745977710861033e-50,3.2184408063995523e-49,True
