PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster
-5.0591745,16.006495,1.2881396,-5.9550204,0.6200916,3.157248,-2.2018168,1.1420299,0.07492954,8.924258,0
-4.1655746,13.839565,1.2340866,-5.8075795,0.3362874,2.7409825,-2.087747,0.86665773,-0.2773088,7.9393106,0
-5.1542444,16.753616,1.1172493,-6.6214714,0.8635686,3.8905442,-2.2507367,0.45072925,-0.26922697,10.209653,0
-4.932301,16.827503,1.5301222,-7.094144,0.085224174,3.5113008,-1.9485396,0.23932025,-0.8328169,10.723987,0
-4.85578,15.60007,1.248717,-7.0981817,0.16225924,3.4551582,-0.93973035,1.5575249,0.14635363,9.784911,0
-5.4359365,17.168303,1.353265,-6.3194933,0.38225174,3.8628833,-1.8115736,0.6813465,-0.2862835,9.500022,0
-3.9319322,23.970724,-0.13071975,-9.590783,1.1676346,-8.377879,1.4417541,5.3483715,14.150174,-6.343449,0
-4.7889194,22.920437,-0.05047377,-8.99155,0.8771815,-8.156726,0.88198954,4.9845123,12.983428,-5.435695,0
-4.8453403,15.694506,1.2186896,-5.9393306,0.16640462,3.238252,-1.3605974,1.4139075,0.30711636,8.784864,0
-5.087957,15.660791,1.296826,-6.3031387,0.78956175,3.5692115,-1.4749914,0.7931032,-0.6995139,9.325804,0
-4.746959,17.146097,1.0533993,-6.9585094,0.03783002,3.467474,-1.5647547,0.99189734,-0.63637656,10.354413,0
-4.942349,17.80907,0.93872786,-6.9816303,0.13447139,3.5986161,-1.4939628,0.3886499,-0.058062647,10.201016,0
-4.9633594,16.97971,1.4644011,-6.61157,0.2911427,3.5638378,-2.0765893,0.11649826,-0.46221274,10.215775,0
-4.9804616,17.619555,1.3594406,-7.014007,0.78697807,3.9059002,-2.520312,0.46270037,0.015787106,10.960061,0
-4.68828,15.904083,0.8201383,-6.463768,-0.266811,3.7644892,-1.3215213,0.77352804,-0.21369964,9.262901,0
-4.861312,16.521183,1.0585623,-6.515306,0.29820666,3.832259,-1.9685068,0.43706718,-0.46137714,10.1681,0
-4.5244455,16.40757,0.9507014,-6.4940863,0.26714665,3.760735,-2.0923553,0.23879133,-0.8677378,10.260548,0
-4.3610635,15.051603,1.0468735,-6.3893456,0.35291988,3.5849864,-1.7564039,1.0676435,-0.5100619,10.030529,0
-4.939161,16.69649,1.1452671,-6.2559643,0.2945924,4.075315,-2.1481862,0.3374765,-0.9403701,10.18858,0
-4.3332844,17.159727,1.2017902,-6.8500614,0.11825205,4.017435,-1.8125747,0.55338424,-0.9315715,10.842328,0
-4.726774,16.139593,0.792787,-5.9893265,0.0130938105,3.697843,-1.5008026,0.6118461,-0.47264412,9.752449,0
-4.2051244,17.3653,-0.26636112,-5.4042163,2.539409,3.5770493,-0.6692648,-1.1015381,0.4804894,-1.845064,0
-4.2675824,22.148233,0.091913946,-8.23907,0.7407523,-7.452354,0.5861876,4.3251805,12.296092,-6.1160784,0
-3.6303012,21.856009,0.340963,-8.300535,0.7589214,-7.504599,0.7871161,4.859614,12.496733,-5.5898056,0
-4.0545816,22.398043,0.11602982,-8.481,0.7437283,-7.603477,0.23493229,4.3944855,12.954328,-5.4262476,0
-3.8951588,21.96681,-0.08150098,-9.063772,0.85302126,-7.5845923,0.7562324,4.5318413,12.265497,-5.367771,0
-3.2043314,22.520323,0.34456486,-8.908887,0.8721178,-7.562786,0.4719363,3.9301155,13.531751,-5.9723825,0
-4.2476363,22.031748,0.24792562,-8.725149,0.8610279,-7.614197,0.5793731,4.906755,12.3328705,-5.2250867,0
-2.8540335,23.319761,0.26822948,-9.403888,0.692705,-7.6392727,0.97504985,4.625178,13.421342,-6.4023848,0
-1.7452637,6.2086973,-0.6888867,-1.593238,-2.3930223,1.0635593,-1.2924528,-1.6300285,-2.354822,2.3156145,0
-3.6180096,8.500284,0.6841651,-4.839073,-2.0483835,1.1556262,-2.117647,-2.1721764,-4.145662,4.844068,0
-3.603049,8.198636,0.5886005,-4.6719747,-1.5696747,1.2291383,-2.3480058,-2.4728284,-4.3827987,4.7093463,0
-4.41863,14.232799,1.2167048,-6.956581,-0.00793545,3.2471232,-1.3564174,0.9724,-0.96222985,8.695644,0
-4.6900315,15.776568,1.1057681,-6.661095,0.0902638,3.6750324,-1.7139306,0.6174405,-0.7114615,9.742967,0
-5.0587296,17.70862,1.1718776,-7.063788,0.52617705,4.2288246,-1.3865787,0.361824,-0.047363587,10.647047,0
-5.287172,17.038254,1.2164944,-7.0026565,0.12148685,3.8189924,-1.7512633,0.08138869,-0.072486155,10.617445,0
-4.342546,16.458113,0.8727268,-6.6000814,-0.48477623,3.6170516,-1.6322613,0.6682576,-1.1914632,9.941947,0
-4.419435,15.953492,0.7774107,-6.3747396,0.31838632,3.883445,-1.0903413,0.53468657,-0.64521825,9.839914,0
-5.200406,16.429848,1.2313291,-6.2918158,0.17005466,4.1340265,-1.4246043,0.2061431,-0.3954846,9.850943,0
-4.858966,16.622337,1.1884992,-6.5758047,-0.06643207,3.819319,-2.086419,0.42498928,-0.7015421,10.480398,0
-3.7640438,16.469347,-0.47923523,-4.8357534,1.2920867,3.8337834,-0.7031244,-1.5471463,0.46903855,-1.3046118,0
-2.7512164,17.345121,-0.742196,-6.087067,0.96217275,2.955375,-0.65625304,-0.8490021,0.3127931,-1.5331434,0
-3.5053432,17.311352,-0.69644445,-5.6817465,1.5066224,4.0614333,-0.035284244,-1.2356483,0.6833532,-2.1222947,0
-3.2582626,16.865335,-0.57283145,-5.9456472,1.1302215,3.3586688,-0.4654943,-0.9614507,0.64268315,-2.0207696,0
-3.7951248,17.504711,-0.7897789,-5.0719414,1.7015821,4.1773605,-0.34706405,-1.35502,0.16061603,-1.5755788,0
-3.4251,22.101553,-0.17550747,-9.676191,0.5515214,-7.080489,0.8018699,4.3981376,12.5451565,-5.4146347,0
-3.65978,23.443224,0.17143162,-9.826065,0.59619397,-8.3068495,1.0601634,4.9807434,13.697508,-6.8215523,0
-3.8601484,20.952587,-0.52724165,-8.500233,0.67885417,-6.5671353,0.35684562,4.2670817,11.577518,-5.2475557,0
