mz,importance,importance_std,rank,adjusted_p_value
154.0206471876676,0.11909442883540382,0.12282496847930788,1,0.0
176.0167606505303,0.08327697808345828,0.11234320617673053,2,0.0
137.9785699752591,0.08032127952741659,0.11097687365367556,3,0.0
171.08614039738697,0.07592950219072277,0.11563277399825972,4,0.0
158.9859894732896,0.07127655302218971,0.09745340101205965,5,0.0
361.1418894575261,0.07103986633406954,0.1012985348190713,6,0.0
169.07988231837922,0.04654090245915791,0.09308524225915046,7,0.0
333.1644332583608,0.0392209410212472,0.07095031284226777,8,0.0
160.0060509455181,0.03440011301381782,0.07996015033896156,9,0.0
132.0279667119385,0.033585020464373595,0.046920547408998224,10,0.0
177.03506184305377,0.03163444780360255,0.061144263667009646,11,0.0
308.14659177061884,0.029374402393170414,0.0536413621758779,12,0.0
193.01375637433176,0.027617367025844854,0.05565117462171938,13,0.0
242.32635814460457,0.02299671799615901,0.056608786255705826,14,0.0
146.13149653627227,0.02208700062170458,0.056918382486015585,15,0.0
256.72854490512685,0.021769210229237935,0.04190295915993731,16,0.0
178.05451540016762,0.020102711076805745,0.04681059108914457,17,0.0
148.0383200786346,0.018070285949713924,0.051741671398631346,18,0.0
105.03602998552456,0.016307161239597665,0.04662596335142875,19,0.0
330.138924773785,0.015973062258159577,0.032195249999161506,20,0.0
147.05203203948167,0.01297110543844436,0.03798067593746916,21,0.0
184.10245118081625,0.012849291674887436,0.03659916242084031,22,0.0
136.99176467297588,0.01260746477657846,0.030593807041419906,23,0.0
326.4905864203725,0.012536858810778168,0.03791099449818681,24,0.0
304.8581183039499,0.010885072801765414,0.030378393561902,25,0.0
218.65543041229083,0.007503322207569029,0.02164989392383635,26,0.0
104.0169972644423,0.006582865357429774,0.010574173558149899,27,0.0
162.10923514747466,0.006194809924407912,0.023794646052180696,28,0.0
174.9967330872699,0.005762121787551063,0.020287078336656335,29,0.0
352.1331617917264,0.005278149226667144,0.010651177944857941,30,0.0
357.1315310551591,0.00496615714606863,0.009922656616227337,31,0.0
220.56324366011717,0.004279537493773539,0.015523813612929661,32,0.0
230.49200015181924,0.003892619599539321,0.00735927949469949,33,0.0
172.07161657537327,0.0032334192247630428,0.003597313952744948,34,0.0
560.1087482482396,0.002356500759196707,0.0029052557691896107,35,0.0
135.9728961531712,0.0022476030479993197,0.006306262393839332,36,0.0
138.99721715850524,0.0020358148607811017,0.003475901237825428,37,0.0
205.6061115041536,0.001773499719854274,0.0015582673730156638,38,0.0
200.54159507507816,0.001425834596091889,0.0008234398740995996,39,0.0
