UMAP1,UMAP2,cluster
2.6485386,4.9203506,1
1.8423538,5.3035374,1
1.8307447,5.335243,1
1.5393628,4.647077,1
3.7893286,4.639554,2
4.7782764,4.5308404,2
5.041258,4.4879155,2
4.942329,4.5048585,2
4.5468,4.5631475,2
2.7905855,4.847472,1
1.7807759,5.1873827,1
1.7843671,5.299459,1
1.5950832,5.183176,1
1.9279982,5.4609857,1
1.9523588,5.644164,1
1.7402656,5.076256,1
1.9239758,5.3982472,1
1.4609437,4.5914426,1
1.7183683,4.765264,1
1.5767688,5.1879487,1
1.555861,4.438221,1
1.438907,4.586092,1
1.7252798,5.2598643,1
1.9940274,5.1625338,1
4.4018145,4.558117,2
4.9122586,4.515086,2
5.069687,4.481988,2
4.9716926,4.50275,2
4.325406,4.572361,2
3.7914803,4.6481204,2
3.8439684,4.644274,2
2.1435263,4.7783046,1
1.7958392,5.151149,1
1.8240433,5.2336984,1
1.4162425,4.6157727,1
1.5961101,4.897453,1
1.5466437,4.4618826,1
1.5822155,4.917871,1
1.5426948,5.022541,1
1.4359173,4.5684147,1
1.5370296,4.8626018,1
1.92165,4.9662585,1
1.4793465,5.0159574,1
1.554269,5.1517363,1
1.4538999,4.983874,1
1.8840785,5.5624056,1
1.6486708,4.676262,1
2.5301473,4.815933,1
2.52585,4.7345285,1
2.5397139,4.7385216,1
3.569476,4.6797423,2
1.852422,4.814422,1
2.638693,4.8995857,1
3.8166397,4.646074,2
5.0450687,4.484188,2
5.0074363,4.4916663,2
4.988612,4.494339,2
4.795851,4.5212955,2
4.7101836,4.544761,2
4.6106668,4.541172,2
3.4019608,4.6678715,1
1.944168,5.4700923,1
1.6599265,5.2485385,1
1.5965163,4.7152233,1
1.7982676,5.3705554,1
1.5689743,5.0245094,1
1.589959,4.745728,1
1.4654366,5.151787,1
1.4567658,5.13455,1
1.8340486,5.1779184,1
1.4054325,4.900249,1
1.4156705,5.0382504,1
1.5208405,4.896679,1
1.6027493,4.600565,1
1.5206579,4.999051,1
2.6829104,4.786883,1
1.7350826,5.084558,1
2.6556623,4.7871513,1
3.2670798,4.672244,1
3.937591,4.6098456,2
3.549735,4.655384,2
4.3764796,4.543377,2
4.7528,4.5242996,2
4.6145735,4.574573,2
4.9930224,4.4806957,2
5.086718,4.475106,2
4.232282,4.6031957,2
4.8610744,4.5053244,2
5.0330167,4.515074,2
4.4834905,4.55544,2
4.458352,4.653685,2
4.9487243,4.536624,2
5.0058384,4.4864097,2
4.312769,4.5947447,2
2.5973747,4.8458867,1
1.9125696,5.322068,1
1.8402544,5.2338552,1
2.7884362,4.8114653,1
1.8015846,4.7893243,1
1.6289225,4.5694838,1
1.4598132,4.547923,1
1.4784461,4.4984984,1
1.556359,5.1722903,1
1.7079211,5.1006274,1
1.6824824,4.806932,1
1.5821933,4.643036,1
1.4941801,4.9626145,1
1.5760332,5.3836794,1
1.6208385,4.5477695,1
1.6355118,4.9333067,1
1.7444394,4.8081856,1
3.6369588,4.6165457,2
4.964667,4.469938,2
4.8452063,4.4836664,2
5.246837,4.4496503,2
5.2189054,4.461735,2
5.429845,4.510828,2
6.593049,4.660306,0
5.748193,4.8660245,0
6.637204,4.6418624,0
6.44169,4.78183,0
4.762114,4.570265,2
5.103502,4.5335717,2
4.7890472,4.571678,2
5.617196,5.1441846,0
5.8055143,4.675659,0
6.0309777,5.1609674,0
6.5084443,4.63469,0
4.8625774,4.554173,2
3.7275505,4.65744,2
3.9024186,4.6358566,2
3.430609,4.6939464,2
4.715281,4.5305405,2
3.0080702,4.6805725,1
2.014484,5.619764,1
1.4564945,4.530811,1
1.5241915,4.5372643,1
1.6095238,4.8201203,1
1.6517311,5.164853,1
1.6316361,5.276238,1
1.4212179,5.044143,1
1.4064101,5.09128,1
1.3625441,4.690516,1
1.4001411,4.5799375,1
1.4529808,4.4158115,1
1.6605123,5.4483476,1
1.5391641,4.48819,1
4.198863,4.5819516,2
5.278711,4.4394975,2
4.3857713,4.5583606,2
7.2035046,4.2475457,0
5.442268,4.5111523,2
6.8605146,4.6096067,0
6.831715,5.0088887,0
6.5929728,4.7131557,0
6.691314,5.1073537,0
6.461928,4.712829,0
6.5788374,4.6742706,0
5.594552,4.8620367,0
6.378541,4.9009237,0
6.252673,4.9627676,0
6.283227,5.386357,0
6.204824,4.868684,0
6.1650558,5.1003785,0
5.8187137,4.784764,0
5.4396653,5.134149,0
6.437662,4.6490335,0
5.6343336,5.159982,0
4.4164724,4.644985,2
3.9127004,4.638107,2
1.7676592,4.861113,1
1.599546,4.815508,1
1.5373931,4.6048613,1
1.5062727,5.202996,1
1.6081603,5.286072,1
1.6043468,4.859315,1
1.7628034,5.0917053,1
1.5318942,5.124303,1
1.8301786,5.3487377,1
1.4392749,5.048246,1
1.6157697,5.2920594,1
1.5410994,4.5285177,1
2.1281626,4.7320795,1
1.635339,4.585001,1
2.5054631,4.746432,1
4.0284967,4.5888987,2
4.979302,4.5049305,2
5.509467,4.498498,2
6.6792107,4.4780545,0
7.0489783,4.4025674,0
6.8345537,5.097905,0
6.7693086,5.154023,0
6.358623,5.415035,0
6.1501637,4.9933157,0
6.5855412,5.0849285,0
6.457272,5.224485,0
5.390187,4.854962,0
5.231754,4.8083506,0
6.4774427,5.226293,0
6.5512695,5.202413,0
5.7801867,4.927437,0
6.5942245,4.4974027,0
6.6264925,4.6307864,0
6.185373,5.1991234,0
6.301483,4.866402,0
5.7137537,4.7205324,0
3.803659,4.66219,2
4.190372,4.615142,2
1.6604607,4.8181977,1
1.5959911,4.503122,1
1.5651621,4.452368,1
1.505498,5.1763124,1
1.6245048,4.9535375,1
1.547012,4.7445154,1
1.5609797,5.1549425,1
1.4543507,5.207369,1
1.5516509,4.53678,1
1.4424518,5.072328,1
1.6005458,4.4748654,1
1.6357108,4.9394183,1
1.8247825,4.6174726,1
2.4039037,4.7526083,1
4.4606915,4.529716,2
5.465967,4.5051103,2
6.959085,4.790572,0
7.0123725,4.717293,0
6.6159863,5.102767,0
6.2749815,5.641509,0
6.2089276,5.1165442,0
6.0976877,5.247371,0
6.272839,5.1660085,0
5.6211,5.0325303,0
5.899387,5.247345,0
6.075833,4.9781866,0
6.5254674,5.1359944,0
6.8247705,4.896612,0
6.556637,4.6138887,0
6.359481,5.017398,0
5.8166904,4.85219,0
5.855538,5.295671,0
6.1981406,5.2086945,0
6.0401683,5.2259192,0
5.641698,5.575501,0
3.9438608,4.642021,2
3.316465,4.713959,2
1.701338,4.7527466,1
1.445653,5.0080276,1
1.7116255,5.0736833,1
1.4336618,4.7008433,1
1.5683084,5.1401267,1
