UMAP1,UMAP2,cluster
4.7872596,3.8526452,0
4.657483,3.7952156,0
4.4797297,3.8774238,0
5.151359,3.6320777,0
4.7446394,3.3120413,0
5.0480614,3.8379693,0
4.693737,4.489763,2
4.9614553,3.6161995,0
4.3545003,4.3012967,2
4.1614943,4.1339316,2
4.2531667,3.9755235,1
4.662446,3.7468917,0
4.1553583,3.970197,2
4.4567013,3.8259265,0
4.421958,4.343943,2
4.3533344,4.5308003,2
4.5457153,3.862654,0
4.3042192,3.8751326,1
3.7666383,4.0233393,1
4.2455587,4.3787093,1
4.2086997,4.1226363,2
4.178095,4.26811,1
4.459551,3.7527754,0
3.9154541,4.2092977,2
4.24569,4.3474493,1
4.1409283,4.026726,2
3.9883242,4.2220173,1
3.9857318,4.1876006,1
3.911941,4.349559,2
4.02507,4.327366,1
4.8725457,4.468671,2
4.285718,4.5853086,2
3.830804,4.2432103,2
4.01659,3.918382,1
4.2798586,4.3635254,1
4.2880034,3.6154647,1
4.5274553,4.0541434,1
5.1881204,3.9214792,0
4.4456363,3.8673015,1
5.4694877,3.9223347,0
5.040315,3.9116411,0
4.168999,3.4195879,1
4.4327164,4.058377,1
4.1545587,3.807806,1
4.7964687,4.8836083,2
4.8902063,4.3073916,2
4.987448,4.1730847,1
4.3541303,4.822365,2
4.567098,4.154888,1
4.0391774,3.8209555,1
4.365357,3.9606204,1
4.8732557,3.1996934,0
5.0245843,4.4544206,2
4.1299105,4.0235047,2
4.495359,3.948401,1
4.2853923,4.1999426,2
4.4739995,3.5798268,0
4.1318035,4.149774,1
4.5890584,3.77366,1
4.2692204,4.0186563,1
4.2984877,3.640575,1
3.8780098,4.1550336,2
4.4318914,4.7169275,2
3.8673837,4.3107815,2
4.098642,4.0983872,1
4.594049,4.7418613,2
4.694351,4.8592725,2
4.124033,4.0888243,1
4.4105124,4.085024,1
4.5169377,3.913529,1
4.0128574,4.29988,1
4.3650784,3.862798,1
4.6579056,3.173692,0
5.105454,3.6498475,0
4.8773465,3.687062,0
5.5183673,3.845259,0
5.52473,3.8484201,0
4.975762,3.2937362,0
4.3542867,4.4913516,2
4.5081882,4.1751966,1
4.112337,4.0117226,1
4.599431,4.2329836,2
4.034425,4.4012227,2
3.9774442,4.594868,2
4.9471784,3.2475553,0
4.351543,4.8083124,2
4.9115934,3.2307324,0
4.5408216,4.2540503,1
4.9851975,3.2582624,0
4.7601676,3.4360616,0
5.0194955,4.231266,0
4.5178213,4.9830594,2
4.3312163,4.367168,2
4.323966,4.2804184,1
4.4748917,3.675992,0
4.1080675,4.155306,1
4.0389867,4.3240294,1
4.1688724,4.4748006,2
3.873279,3.841921,1
4.0526624,4.2580776,1
4.022802,4.5012035,1
3.8469691,3.8500364,1
4.8974466,4.697774,2
4.179704,4.257679,2
4.145309,4.382126,2
4.2748065,4.2638407,2
4.7368894,4.934502,2
4.86313,4.5965624,2
5.0968804,4.000337,0
4.233737,4.18373,1
4.8480225,4.862961,2
5.465724,4.026003,0
5.543887,4.249555,0
4.1885953,3.787189,1
4.8206177,4.748289,2
4.107455,4.0260606,1
4.971137,4.7015476,2
4.1344795,4.2484975,1
4.888324,4.672646,2
4.729878,3.4035015,0
3.9622061,3.8688893,1
4.4481688,4.4746366,1
4.576186,4.30932,2
4.6199803,3.26051,0
5.2805166,4.212622,0
3.973353,3.7282314,1
4.930998,4.3047957,1
4.2285137,4.2947526,1
4.7639713,3.3286145,0
4.1420507,4.788183,2
4.105182,4.3817816,1
3.9660208,4.3120093,1
4.2732596,3.9431617,1
4.4045334,3.9521182,0
4.5377064,4.674795,2
4.109074,4.066232,1
4.2097397,4.3210287,2
4.0732813,4.299329,2
4.0243125,3.6854835,1
4.6962523,4.7569084,2
3.910162,4.121348,2
4.7549863,4.6272864,2
4.2176867,4.284172,2
4.064408,4.298726,1
4.4819384,3.9546103,1
5.557392,4.1298866,0
5.265469,3.7119386,0
5.538129,4.362116,0
5.5099125,4.0387034,0
5.0697584,3.5142968,0
4.107528,3.6145217,1
4.578457,4.107638,1
4.090259,3.8242314,1
4.524717,4.039512,1
4.6092534,4.2850814,1
4.917179,4.0366707,0
4.3004904,3.9630096,1
4.079586,3.7114456,1
4.867868,4.4471164,2
4.127014,4.0538583,1
5.105972,4.2300515,0
4.6436386,4.1439805,2
4.482886,3.7912,1
4.232386,3.7060103,1
4.476353,4.369412,2
4.5534697,4.758637,2
4.9751296,4.3018155,1
4.403414,4.1428084,1
4.79233,4.6330757,2
3.9139822,3.8784046,1
4.56993,4.751612,2
4.014139,3.9116707,1
4.1440296,3.969565,1
4.244694,4.716415,2
4.5428557,4.816068,2
4.130389,4.3077903,2
4.3810773,4.135258,1
4.3481197,3.352011,1
4.104817,4.137338,2
4.4097137,4.1185956,1
4.8991365,4.500009,2
5.4491873,3.7746882,0
5.558403,3.9567065,0
4.7301083,4.4503126,1
5.5413747,3.8992333,0
5.2396994,3.7803175,0
4.4668617,4.2344217,1
4.7538385,3.9933724,1
5.325216,4.1995826,0
4.8559666,3.3904572,0
4.3589263,3.9545746,1
4.965692,3.9215279,0
4.8844466,3.7654285,0
4.458325,4.3185434,1
4.766738,4.8313684,2
4.729221,3.891057,0
4.6666675,3.7908976,0
4.787834,4.7116904,2
4.499444,4.7716203,2
4.7134843,4.8234215,2
4.3282194,3.3320682,1
4.5839806,4.7702246,2
4.8375435,3.5325103,0
4.640089,4.056153,1
4.282922,3.6959054,1
4.6513824,4.8112345,2
4.7336135,4.4425564,2
4.5486407,4.485252,2
4.619382,3.372319,0
4.513938,3.8663235,1
4.5880165,4.3399014,2
4.9848266,4.8694415,2
4.6008463,4.5284224,2
4.4269657,4.1106706,1
3.90807,4.1095047,2
4.3631,4.004034,1
4.2259793,3.4146562,1
5.310299,3.756178,0
4.975227,4.316349,0
4.7769246,3.7707424,0
4.7392354,3.7925453,0
5.405692,4.046892,0
4.9367833,3.846952,0
4.66153,3.6256163,0
5.068007,3.6761436,0
4.8292146,4.604573,2
4.3411064,4.2315097,1
4.8667674,4.029631,1
4.4618635,4.22483,2
4.578915,3.7694523,0
5.1669617,3.5994437,0
5.088548,4.4390144,0
4.1074605,3.7790575,1
4.000174,4.271102,2
4.2433896,4.314824,1
3.947498,4.350735,1
4.655018,4.0783796,1
4.6704664,4.678489,2
4.5531917,4.401302,2
4.016082,3.833831,1
4.1285324,4.5862627,2
4.280976,3.9354038,1
4.9702444,4.196124,1
4.6776586,4.500124,2
4.3436894,4.286285,2
4.085943,3.880016,1
4.609172,4.7606,2
4.6235266,3.6626477,0
4.7447257,4.6419787,2
3.994101,3.8335404,1
4.79632,4.519507,2
5.0536137,4.580241,2
4.213602,3.886089,1
5.3997307,3.779584,0
5.488907,4.3041425,0
5.2704587,3.9286041,0
4.887126,4.0825434,1
4.988663,3.374999,0
5.5499773,4.0709133,0
5.3018603,4.350341,0
5.4255757,4.0654273,0
4.24298,4.0634136,1
5.329067,4.461584,2
4.8599257,4.7187767,2
4.2480726,4.008,1
4.9218493,4.8672676,2
4.782179,3.377863,0
4.5191894,3.9922237,1
4.195472,4.2444882,1
4.194192,3.886519,1
4.403079,4.505208,2
4.830926,4.850515,2
4.503139,3.1918519,0
4.7806616,4.75879,2
4.4078493,4.3883758,2
5.4262853,4.4375434,2
4.0439596,3.8009186,1
4.500715,4.3116245,1
4.6436768,4.584886,2
4.9718027,3.836491,0
5.060395,4.2103295,0
5.282554,4.1750746,0
4.3865943,3.316089,0
4.4869947,4.330367,2
4.6750813,4.308728,2
4.353598,4.7826014,2
4.5753083,3.7676044,0
5.1346374,4.3254337,0
4.286594,3.1814668,1
5.312176,4.091154,0
4.5937357,4.4292293,1
5.5656185,3.9377627,0
4.9031305,3.53008,0
5.0062265,3.5412493,0
4.431716,4.2816463,1
4.7001653,3.8046854,0
5.246809,4.295203,0
5.262693,4.281319,0
5.431336,4.1277776,0
4.3763213,4.234494,1
4.344937,3.727978,1
3.8904674,4.3226027,2
4.304432,4.879534,2
4.295882,4.75482,2
3.9940658,4.23761,1
4.2453904,4.2672777,2
4.392436,3.952603,1
4.6607404,3.8457456,0
4.729389,4.8437495,2
5.04528,4.252767,0
4.5480576,4.745027,2
4.9119473,4.1992683,0
4.052321,4.6846952,2
4.1144953,3.7586217,1
4.4643664,4.622933,1
4.31154,3.936063,1
4.175732,4.539371,2
4.8487,3.8576996,0
5.338718,4.4807925,0
4.3818307,4.0660753,1
4.0483913,4.407284,1
4.2453785,4.0627246,1
4.7305927,4.647216,2
5.16758,4.2656136,0
