mz,p_value,adjusted_p_value,significant_after_fdr
383.9973108760172,0.0,0.0,True
392.9551972052478,0.0,0.0,True
396.9838608565002,0.0,0.0,True
408.94909912177,0.0,0.0,True
415.2167743561181,0.0,0.0,True
441.2342322183706,0.0,0.0,True
449.9520037898308,0.0,0.0,True
459.2436818405979,0.0,0.0,True
463.1523206100277,0.0,0.0,True
472.0599690338322,0.0,0.0,True
475.2167644149352,0.0,0.0,True
485.2581875623953,0.0,0.0,True
505.3449115222276,0.0,0.0,True
523.355659811665,0.0,0.0,True
639.5640279467634,0.0,0.0,True
658.3764007699972,0.0,0.0,True
922.5001985010108,1.53066780191219e-106,1.7723521916877988e-106,True
933.5015456188676,2.2455952835630477e-37,2.2455952835630477e-37,True
950.5945785430548,2.410336601981178e-75,2.5251145354088534e-75,True
960.541977656046,2.689151940548367e-88,2.958067134603204e-88,True
978.545933466862,1.9311006313031858e-157,2.3602341049261158e-157,True
996.5434795065352,0.0,0.0,True
